fn,firstSentence,basedOn,code
Indobit-A-NYT1985 - Jan 1 - March 31-10.txt,"Leo Robin, the Oscar-winning song lyricist, died of heart failure on Saturday at the Motion Picture and Television Hospital in suburban Los Angeles.",song,KZ-Forms of Music
Indobit-A-NYT1984_501-1000-21.txt,"Wilbur C. Munnecke, former vice president of Field Enterprises and general manager of The Chicago Sun-Times and The Chicago Daily News for five years, died Tuesday in a Michigan hospital.",general manager," 189
"
Indobit-A-NYT1980_501-904-82.txt,"Meyer Bernstein, the first tax lawyer in the office of the Corporation Counsel of New York City and author of the legislation establishing the city sales tax, died Wednesday at his home in Stamford, Conn.",lawyer," 110–111
"
Indobit-A-NYT1982_501-1000-446.txt,"Dr. Raymond F. Jones, professor of biological services and director of international education and exchange programs at the State University at Stony Brook, L.I., died Saturday at the university's hospital of a heart attack.",director," 150, 159
"
Indobit-A-NYT1981 - Jan 1 - March 31-353.txt,"Jacques Zucker, an artist whose paintings in post-Impresssionist style were seen in many one-man shows in the United States and abroad, died Friday at Beth Israel Hospital after a long illness.",artist," 141, 144
"
Indobit-A-NYT1980_501-904-87.txt,"Sol Levy, former publisher of two weekly newspapers in Brooklyn and executive director of the Williamsburg Y.M.H.A.",director," 150, 159
"
Indobit-A-NYT1986_1001-1500-201.txt,"Dean Reed, an American-born singer who had a legion of fans in the Communist bloc, died Tuesday in East Germany, where he had lived since 1972.",singer," 152
"
Indobit-A-NYT1985 - Jan 1 - March 31-332.txt,"Roger Huntington Sessions, one of the nation's foremost composers of symphonies, opera and chamber music and a professor of music at several institutions, died Saturday in Princeton (N.J.) Hospital.",composer," 152
"
Indobit-A-NYT1985 - Jan 1 - March 31-332.txt,"Roger Huntington Sessions, one of the nation's foremost composers of symphonies, opera and chamber music and a professor of music at several institutions, died Saturday in Princeton (N.J.) Hospital.",composers," 152
"
Indobit-A-NYT1985 - Jan 1 - March 31-332.txt,"Roger Huntington Sessions, one of the nation's foremost composers of symphonies, opera and chamber music and a professor of music at several institutions, died Saturday in Princeton (N.J.) Hospital.",opera,KZ-Forms of Music
Indobit-A-NYT1987 - Jan 1 - March 31-38.txt,"Dr. Nicholas Michelson, a cardiologist and psychiatrist for many years, died last Thursday at the Muhlenberg Hospital in Plainfield, N.J.",psychiatrist," 070
"
Indobit-A-NYT1984_1001-1500-162.txt,"Fredrick McCurdy Eaton, a Wall Street lawyer who took on various Government assignments, died Wednesday at his home in Dublin, N.H..",lawyer," 110–111
"
Indobit-A-NYT1982_1-500-163.txt,"Muriel Goldberg, who founded such diversified businesses as coinoperated laundromats, poultry stores, a spice-distributing company and a precious-metal recovery concern, died Saturday at her home in Hawthorne, N.J. She was 60 years old.",divers," 349, 899
"
Indobit-A-NYT1982_1-500-163.txt,"Muriel Goldberg, who founded such diversified businesses as coinoperated laundromats, poultry stores, a spice-distributing company and a precious-metal recovery concern, died Saturday at her home in Hawthorne, N.J. She was 60 years old.",diver," 349, 899
"
Indobit-A-NYT1981 - Oct 1 - Dec 31-265.txt,"Arthur Gershwin, a composer and the younger brother of George and Ira Gershwin, died at his home Friday after a long illness.",composer," 152
"
Indobit-A-NYT1985 - July 1 - Sep 30-158.txt,"Stella Blum, the fashion historian who was for many years the curator of costumes at the Costume Institute of the Metropolitan Museum of Art, died of cancer yesterday at Robinson Memorial Hospital in Ravenna, Ohio.",historian," 052
"
Indobit-A-NYT1987 - Jan 1 - March 31-12.txt,"Peter S. Zeiler, a criminal defense lawyer in New York City, died Tuesday in Rio de Janeiro.",lawyer," 110–111
"
Indobit-A-NYT1983 - Jan 1 - March 31-162.txt,"Dr. Francis Wilton Reichelderfer, who as the long-time chief of the United States Weather Bureau ushered in the era of space and computer technology in forecasting, died Tuesday at his home in Washington.",usher," 344
"
Indobit-A-NYT1981 - Jan 1 - March 31-5.txt,"Raoul Walsh, a dynamic movie pioneer and a major director for nearly half a century, died Wednesday night, apparently of a heart attack, at the Simi Valley Adventist Hospital near Los Angeles.",director," 150, 159
"
Indobit-A-NYT1986_1-500-407.txt,"James P. Bacon Jr., general manager of the San Diego Zoo and an authority on reptiles and amphibians, died Friday after returning from a morning run.",general manager," 189
"
Indobit-A-NYT1980_1-500-206.txt,"Nina D. Phillips, director of the Volunteer Center of WNET-TV, Channel 13, died Saturday at her home in Manhattan.",director," 150, 159
"
Indobit-A-NYT1983 - April 1 - June 30-372.txt,"Peter Mennin, the American composer and president of the Juilliard School of Music since 1963, died yesterday morning at Columbia Presbyterian Medical Center after a long illness.",composer," 152
"
Indobit-A-NYT1980_501-904-358.txt,"Alec Wilder, a composer whose work in ''serious'' and popular music had an individuality that set him apart from his contemporaries, died of lung cancer yesterday morning at North Florida Regional Hospital in Gainesville.",composer," 152
"
Indobit-A-NYT1980_501-904-358.txt,"Alec Wilder, a composer whose work in ''serious'' and popular music had an individuality that set him apart from his contemporaries, died of lung cancer yesterday morning at North Florida Regional Hospital in Gainesville.",popular,KZ-Genre
Indobit-A-NYT1985 - April 1 - June 30-52.txt,"Norman S. McGee, retired executive vice president of WQXR, the radio station of The New York Times, died of a heart ailment Wednesday at his home in Sedona, Ariz.",radio,KZ-Forms of Music
Indobit-A-NYT1984_1001-1500-462.txt,"Dr. Alfred A. Richman, an orthopedic surgeon and an honorary trustee of Beth Israel Hospital, died of a heart attack Saturday at his home on Bay Harbor Islands, Fla.",surgeon," 070
"
Indobit-A-NYT1982_1-500-391.txt,"Lewis M. Hull, a founder of Radio Frequency Laboratories in Boonton Township, N. J., and retired chairman of the former Aircraft Radio Corporation, died Wednesday at Riverside Hospital in Boonton Township.",radio,KZ-Forms of Music
Indobit-A-NYT1981 - Oct 1 - Dec 31-11.txt,"Joseph Van Gelder, a shorthand reporter in the New York State courts for 30 years, died Thursday at the Miami Heart Institute in Miami.",shorthand reporter," 202
"
Indobit-A-NYT1984_501-1000-114.txt,"Alberto R. Cellario, an Argentine journalist who went into exile as an opponent of the Peron dictatorship, died Thursday of heart failure during a visit to his native Buenos Aires.",journalist," 131–132
"
Indobit-A-NYT1987 - Jan 1 - March 31-339.txt,"Eugene Seaman, a pianist, composer, educator and musical entrepreneur, died of lung cancer Saturday.",composer," 152
"
Indobit-A-NYT1987 - Jan 1 - March 31-339.txt,"Eugene Seaman, a pianist, composer, educator and musical entrepreneur, died of lung cancer Saturday.",musical,KZ-Forms of Music
Indobit-A-NYT1984_501-1000-155.txt,"William J. Isaacson, a New York lawyer and a former regional commissioner of the National Labor Relations Board, died Sunday at the Danbury (Conn.) Hospital of injuries he received when he was struck by an automobile while bicycling in Redding, Conn.",lawyer," 110–111
"
Indobit-A-NYT1985 - July 1 - Sep 30-311.txt,"Ellen Salomon Pavia, a psychiatric social worker, died suddenly yesterday of a cerebral hemorrhage at Lenox Hill Hospital.",social worker," 195
"
Indobit-A-NYT1986_501-1000-360.txt,"Dr. George R. Bach, a clinical psychologist who was founder and director of the Institute of Group Psychotherapy in Los Angeles, died of heart disease Tuesday at a hospital in Los Angeles.",psychologist," 045
"
Indobit-A-NYT1986_501-1000-360.txt,"Dr. George R. Bach, a clinical psychologist who was founder and director of the Institute of Group Psychotherapy in Los Angeles, died of heart disease Tuesday at a hospital in Los Angeles.",director," 150, 159
"
Indobit-A-NYT1983 - April 1 - June 30-262.txt,"Bernice Judis, a former general manager of radio station WNEW, died of a heart ailment Tuesday at the North Beach Hospital in Fort Lauderdale, Fla. She was 83 years old and lived in Fort Lauderdale.",general manager," 189
"
Indobit-A-NYT1983 - April 1 - June 30-262.txt,"Bernice Judis, a former general manager of radio station WNEW, died of a heart ailment Tuesday at the North Beach Hospital in Fort Lauderdale, Fla. She was 83 years old and lived in Fort Lauderdale.",radio,KZ-Forms of Music
Indobit-A-NYT1987 - April 1 - June 30-257.txt,"Charles Ludlam, one of the most prolific and flamboyant artists in the theater avant-garde, who seemed to be on the verge of breaking into the mainstream of American culture, died of pneumonia early yesterday.",artist," 141, 144
"
Indobit-A-NYT1987 - April 1 - June 30-257.txt,"Charles Ludlam, one of the most prolific and flamboyant artists in the theater avant-garde, who seemed to be on the verge of breaking into the mainstream of American culture, died of pneumonia early yesterday.",artists," 141, 144
"
Indobit-A-NYT1983 - April 1 - June 30-401.txt,"Charles DeLaskie Marshall, former general manager of the Maritime Commission and retired chairman of the Associated Latin American Freight Conferences, died Thursday in Chesterfield Convalescent Hospital in Chester, Conn., after suffering a stroke.",general manager," 189
"
Indobit-A-NYT1983 - April 1 - June 30-401.txt,"Charles DeLaskie Marshall, former general manager of the Maritime Commission and retired chairman of the Associated Latin American Freight Conferences, died Thursday in Chesterfield Convalescent Hospital in Chester, Conn., after suffering a stroke.",Latin,KZ-Genre
Indobit-A-NYT1984_1-500-440.txt,"The director Jack Donohue, whose work ranged from M-G-M musicals with Shirley Temple to pioneering efforts in live television and location filming, has died of a heart attack at the age of 75.",director," 150, 159
"
Indobit-A-NYT1984_1-500-44.txt,"Ronald Lewin, a British military historian and former chief of the British Broadcasting Corporation's domestic radio service, died Friday at his home in Surrey, England.",historian," 052
"
Indobit-A-NYT1984_1-500-44.txt,"Ronald Lewin, a British military historian and former chief of the British Broadcasting Corporation's domestic radio service, died Friday at his home in Surrey, England.",radio,KZ-Forms of Music
Indobit-A-NYT1981 - Oct 1 - Dec 31-199.txt,"Ludwig Wolpert, sculptor of Jewish ceremonial objects and an artist-in-residence at the Jewish Museum in Manhattan, died Friday at Mount Sinai Medical Center.",artist," 141, 144
"
Indobit-A-NYT1981 - April 1 - June 30-170.txt,"William Alonzo (Cat) Anderson, a trumpet player best remembered for recordings of ''Take the A Train'' with Duke Ellington's orchestra, died of cancer yesterday.",trumpet,KZ-Instrument
Indobit-A-NYT1984_501-1000-84.txt,"Ben Roberts, a writer and producer whose works included ''Portrait In Black,'' ''Midnight Lace,'' ''White Heat'' and the television show ''The Rogues,'' died Saturday in Centinela Hospital following a stroke suffered several weeks ago.",producer," 159, 187, 962
"
Indobit-A-NYT1981 - July 1 - Sep 30-264.txt,"Lester J. Cappon, an editor and historian of early American culture, died here on Monday.",historian," 052
"
Indobit-A-NYT1984_501-1000-330.txt,"Donald G. Herold, director of the Buffalo Museum of Science, died Tuesday while leading a group on a tour of Mexico, apparently of a heart attack.",director," 150, 159
"
Indobit-A-NYT1984_1001-1500-36.txt,"Hans Sondheimer, the lighting designer, technical director and production coordinator for the New York City Opera from its inception in 1944 until his retirement in 1980, died Saturday morning at his home in Manhattan.",director," 150, 159
"
Indobit-A-NYT1984_1001-1500-36.txt,"Hans Sondheimer, the lighting designer, technical director and production coordinator for the New York City Opera from its inception in 1944 until his retirement in 1980, died Saturday morning at his home in Manhattan.",opera,KZ-Forms of Music
Indobit-A-NYT1986_1-500-273.txt,"George H. Nelson, the architect, industrial and furniture designer, editor and writer and one of the most influential thinkers in industrial design, died yesterday at the Columbia-Presbyterian Medical Center.",architect," 001
"
Indobit-A-NYT1981 - Jan 1 - March 31-296.txt,"Matthew (Fats) Houston, the grand marshal at many of the jazz funerals in New Orleans, had his own funeral yesterday on the eve of Mardi Gras.",jazz,KZ-Genre
Indobit-A-NYT1986_1501-1568-2.txt,"Martin L. Sokol, an authority on opera and recordings and the general director of the Bel Canto Opera, died at Roosevelt Hospital Thursday morning of a heart attack.",director," 150, 159
"
Indobit-A-NYT1986_1501-1568-2.txt,"Martin L. Sokol, an authority on opera and recordings and the general director of the Bel Canto Opera, died at Roosevelt Hospital Thursday morning of a heart attack.",opera,KZ-Forms of Music
Indobit-A-NYT1981 - April 1 - June 30-402.txt,"Louis Solomon, a television producer and writer, died of cancer last Friday in Southold, L.I.",producer," 159, 187, 962
"
Indobit-A-NYT1981 - July 1 - Sep 30-13.txt,"Theodore Hood, an architect and engineer who helped design the United Nations headquarters, died Wednesday of a heart attack at the Veterans Administration Hospital in Manhattan.",architect," 001
"
Indobit-A-NYT1983 - July 1 - Sep 30-385.txt,"Bernard Lamotte, a French-born artist, illustrator and muralist whose work decorated several of New York's premier restaurants, died on Wednesday at St. Luke's Hospital of complications following surgery.",artist," 141, 144
"
Indobit-A-NYT1987 - April 1 - June 30-173.txt,"John M. Leavens, a former executive director of the Citizens Budget Commission, one of New York City's longstanding municipal watchdog groups, died of congestive heart failure while being taken to a hospital in Naples, Fla., last Tuesday.",director," 150, 159
"
Indobit-A-NYT1980_501-904-44.txt,"Joseph P. Morris, a financial news copy editor on The New York Times for 12 years until his retirement in 1979, died yesterday of cancer at Calvary Hospital in the Bronx.",copy editor," 132
"
Indobit-A-NYT1981 - July 1 - Sep 30-209.txt,"Everly Driscoll, an American science journalist, died yesterday of a gunshot wound after a car in which she was riding was attacked by thieves in Nairobi, Kenya.",journalist," 131–132
"
Indobit-A-NYT1981 - Jan 1 - March 31-83.txt,"Jack Schlissel, a general manager and producer on Broadway, died of a heart attack Tuesday night in his apartment on West 67th Street.",general manager," 189
"
Indobit-A-NYT1981 - Jan 1 - March 31-83.txt,"Jack Schlissel, a general manager and producer on Broadway, died of a heart attack Tuesday night in his apartment on West 67th Street.",producer," 159, 187, 962
"
Indobit-A-NYT1986_1001-1500-414.txt,"Ann Brewer Clift, an artist and Red Cross volunteer who devoted more than 5,000 hours to teaching art to mental patients during the 1950's and 1960's, died of liver cancer Friday at St. Vincent's Hospital in Manhattan.",artist," 141, 144
"
Indobit-A-NYT1984_1001-1500-322.txt,"The Rev. Pasquale J. Zaccara, a Presbyterian minister and former deputy executive director of the New York Mission Society, died Monday at St. Mary's Hospital in West Palm Beach, Fla.",director," 150, 159
"
Indobit-A-NYT1981 - Jan 1 - March 31-194.txt,"Jerry Harlan Bretz, a geologist whose theory on the effects of vast flooding in Washington State evoked ridicule and finally acceptance, died last Tuesday at his home in Homewood, Ill.",geologist," 024
"
Indobit-A-NYT1981 - Oct 1 - Dec 31-440.txt,"Franjo Cardinal Seper, an influential figure in the Vatican hierarchy, died today, the Vatican Radio announced.",radio,KZ-Forms of Music
Indobit-A-NYT1984_1001-1500-372.txt,"Paolo Monelli, for half a century one of Italy's most distinguished journalists and noted writers, died today at the age of 93 after a long illness, hospital sources said.",journalists," 131–132
"
Indobit-A-NYT1984_1001-1500-372.txt,"Paolo Monelli, for half a century one of Italy's most distinguished journalists and noted writers, died today at the age of 93 after a long illness, hospital sources said.",journalist," 131–132
"
Indobit-A-NYT1981 - July 1 - Sep 30-259.txt,"Ely S. Rubin, motion-picture advertising director of Variety, the entertainment newspaper, died unexpectedly last Saturday at his home in Kearny, N.J.",director," 150, 159
"
Indobit-A-NYT1982_501-1000-292.txt,"Abner Dean, a satiric cartoonist and illustrator whose work appeared in magazines and periodicals, died yesterday at Mount Sinai Hospital.",cartoonist," 141
"
Indobit-A-NYT1986_1001-1500-73.txt,"Dr. Abraham Rosenthal, a surgeon and pathologist who was a former assistant chief medical examiner, died yesterday at his home in Queens after a long illness.",pathologist," 041, 070, 073
"
Indobit-A-NYT1986_1001-1500-73.txt,"Dr. Abraham Rosenthal, a surgeon and pathologist who was a former assistant chief medical examiner, died yesterday at his home in Queens after a long illness.",surgeon," 070
"
Indobit-A-NYT1983 - July 1 - Sep 30-183.txt,"Sydney Sher, a retired lawyer and real-estate executive who was active in the development of shopping centers in southern California in the 1950's and 60's, died Wednesday at the Cedars- Sinai Medical Center in Los Angeles.",lawyer," 110–111
"
Indobit-A-NYT1982_1-500-290.txt,"Julius F. Seebach Jr., a radio and television programmer who was in charge of programs at WOR-TV when the station took to the air in October 1949, died Sunday at a nursing home in New York City.",radio,KZ-Forms of Music
Indobit-A-NYT1985 - Oct 1 - Dec 31-81.txt,"Florette Henri, a historian and writer who studied discrimination against blacks and American Indians, died last Saturday at her home in Yonkers.",historian," 052
"
Indobit-A-NYT1980_501-904-230.txt,"Herbert F. Boynton, an investment banker and president and former chairman of the board of governors of the National Association of Securities Dealers, died Friday in Naples, Fla.",investment banker," 020
"
Indobit-A-NYT1981 - Jan 1 - March 31-290.txt,"Herbert C. Struppmann, an architect and retired Navy captain who remained active in the Naval Reserve, died Feb. 12 at Veterans Hospital in Canandaigua, N.Y., after a long illness.",architect," 001
"
Indobit-A-NYT1985 - Oct 1 - Dec 31-194.txt,"Harry (Sandy) Steinbreder, director of Time magazine's special advertising projects and former publisher of Money magazine, died Tuesday at Good Samaritan Hospital in Palm Beach, Fla.",director," 150, 159
"
Indobit-A-NYT1981 - April 1 - June 30-60.txt,"Dr. Gerard Balakian, an internist and a senior attending physician at Englewood (N.J.) Hospital, died Friday of a heart ailment in St. Luke's Hospital in New York City.",physician," 070
"
Indobit-A-NYT1983 - July 1 - Sep 30-156.txt,"John Gaw Meem, a leading exponent of the ''Santa Fe style'' of architecture, died Thursday at St. Vincent Hospital in Santa Fe, N. M., one of the many buildings he designed throughout the American Southwest.",architect," 001
"
Indobit-A-NYT1985 - Oct 1 - Dec 31-377.txt,"Cortland Anderson, director of the E. W. Scripps School of Journalism at Ohio University in Athens, died today at Riverside Hospital here.",director," 150, 159
"
Indobit-A-NYT1983 - April 1 - June 30-101.txt,"Walter Slezak, the character actor whose roles ranged from menacing heavies in such movies as ''Lifeboat'' to endearing vagabonds as in the stage musical ''Fanny,'' for which he won a Tony award, committed suicide early yesterday at his home in Flower Hill, L.I.",actor," 150
"
Indobit-A-NYT1983 - April 1 - June 30-101.txt,"Walter Slezak, the character actor whose roles ranged from menacing heavies in such movies as ''Lifeboat'' to endearing vagabonds as in the stage musical ''Fanny,'' for which he won a Tony award, committed suicide early yesterday at his home in Flower Hill, L.I.",musical,KZ-Forms of Music
Indobit-A-NYT1980_501-904-117.txt,"Laurence K. Marshall, a founder and former president of the Raytheon Company, an international, diversified electronics concern, died Wednesday at Mount Auburn Hospital in Cambridge, Mass.",divers," 349, 899
"
Indobit-A-NYT1980_501-904-117.txt,"Laurence K. Marshall, a founder and former president of the Raytheon Company, an international, diversified electronics concern, died Wednesday at Mount Auburn Hospital in Cambridge, Mass.",diver," 349, 899
"
Indobit-A-NYT1986_1-500-28.txt,"friends and colleagues of Dr. Thomas W. Pollock filled Christ the Redeemer Episcopal Church to overflowing here today and heard him eulogized as a gifted surgeon and a warm man whose concern for his patients was exceeded only by his love for his family. Mayor Koch, his head bowed, was among the mourners who came to pay tribute to the 40-year-old doctor, who was slain Monday in his office at Kings County Hospital Center in Brooklyn by a man that the police described as a former patient of the hospital who was dissatisfied with surgery performed on him there.",surgeon," 070
"
Indobit-A-NYT1982_1-500-184.txt,"Luke P. Carroll, a veteran newspaper editor and executive, died Thursday at his home in suburban Barrington.",newspaper editor," 132
"
Indobit-A-NYT1984_1001-1500-357.txt,"Ralph J. Furey, the director of athletics at Columbia University from 1943 until 1968, died yesterday in Durango, Colo., after having been hospitalized for four days.",director," 150, 159
"
Indobit-A-NYT1987 - April 1 - June 30-415.txt,"Elizabeth (Libba) Cotten, who won a Grammy Award in 1985 for a collection of her blues and folk songs, died today at a Syracuse hospital.",folk,KZ-Genre
Indobit-A-NYT1984_1001-1500-15.txt,"Dr. Archibald M. Woodruff, a land and taxation economist and former president of the University of Hartford, died of lymphatic cancer Sunday in Farmington, Conn., at the John N. Dempsey Hospital of the University of Connecticut Health Center.",economist," 050
"
Indobit-A-NYT1981 - April 1 - June 30-243.txt,"Willis R. Buck, president and general manager of Texaco Oil Trading Division and president of Texaco International Trader Inc., died yesterday at his home in New Canaan, Conn., after a long illness.",general manager," 189
"
Indobit-A-NYT1982_501-1000-394.txt,"Kenzo Okada, a Japanese-American modernist painter whose delicate, highly praised abstractions have been exhibited around the world, died of a heart ailment Sunday in Tokyo, where a major retrospective exhibition of his work was recently on display at the Seibu Museum of Art.",modernist,KZ-Genre
Indobit-A-NYT1985 - July 1 - Sep 30-1.txt,"Lynd Ward, the artist and book illustrator whose more than 200 works for children and adults included the ''The Little Red Lighthouse and the Great Gray Bridge,'' died Friday of Alzheimer's disease at his home in Reston, Va.",artist," 141, 144
"
Indobit-A-NYT1982_1001-1500-453.txt,"Hiram Edward Manville Jr., a former director of the Johns-Manville Corporation, died Tuesday at St. Mary's Hospital in Reno after a long illness.",director," 150, 159
"
Indobit-A-NYT1983 - July 1 - Sep 30-59.txt,"Eddie Foy Jr., the vaudevillian who toured for more than a decade with his father and siblings in an act called ''Eddie Foy and the Seven Little Foys'' and who continued as a song-and-dance man in dozens of musical plays and movies, died of cancer yesterday at the Motion Picture and Television Hospital in Woodland Hills, Calif.",musical,KZ-Forms of Music
Indobit-A-NYT1980_501-904-100.txt,"Marjorie Johnson Margolis, a founder and the executive director of the Westchester Alliance on Juvenile and Criminal Justice, died Sunday at her home in Harrison, N.Y. She was 53 years old.",director," 150, 159
"
Indobit-A-NYT1982_501-1000-30.txt,"Lyman Henry Butterfield, a historian who edited the landmark Adams Papers and a former director of the Institute of Early American History, died at New England Deaconess Hospital in Boston yesterday after a long illness.",historian," 052
"
Indobit-A-NYT1982_501-1000-30.txt,"Lyman Henry Butterfield, a historian who edited the landmark Adams Papers and a former director of the Institute of Early American History, died at New England Deaconess Hospital in Boston yesterday after a long illness.",director," 150, 159
"
Indobit-A-NYT1986_1001-1500-247.txt,"Kenneth L. Dixon, a former war correspondent for The Associated Press, syndicated columnist and newspaper editor, died Sunday at Our Lady of the Lake Regional Medical Center in Baton Rouge.",newspaper editor," 132
"
Indobit-A-NYT1980_1-500-262.txt,"Herman C. Stoute, a former judge of the Mahattan Municipal Court, died Friday at his home at 75 St. Nicholas Place.",judge," 111
"
Indobit-A-NYT1983 - Jan 1 - March 31-218.txt,"Margaret Oakley Dayhoff, a biochemist who developed much-used compilations of protein structures, died Saturday of a heart attack at her home in Silver Spring, Md.",biochemist," 041
"
Indobit-A-NYT1983 - Jan 1 - March 31-218.txt,"Margaret Oakley Dayhoff, a biochemist who developed much-used compilations of protein structures, died Saturday of a heart attack at her home in Silver Spring, Md.",chemist," 022
"
Indobit-A-NYT1985 - July 1 - Sep 30-159.txt,"Arno Hallock Johnson, a former vice president and senior economist for J. Walter Thompson, the advertising concern, died Tuesday at his home in Delray Beach, Fla.",economist," 050
"
Indobit-A-NYT1987 - Jan 1 - March 31-87.txt,"John J. Guerin, the director of advertising sales operations for The New York Times, died Saturday after he suffered a heart attack while playing tennis in Freeport, L.I.",director," 150, 159
"
Indobit-A-NYT1986_1001-1500-453.txt,"Gwendolyn Powell Brown, director of computer education for Community School District 3 on the Upper West Side of Manhattan, died of a pulmonary embolism Sunday at Columbia Memorial Hospital in Hudson, N.Y. She was 54 years old and lived in Manhattan and in Germantown, N.Y. Mrs. Brown, a native New Yorker, had been a teacher in the New York City school system since 1953.",director," 150, 159
"
Indobit-A-NYT1986_1501-1568-5.txt,"James Fassett, a former CBS Radio music director and head of its music division, died Wednesday at Pokono Hospital in Stroudsburg, Pa.",director," 150, 159
"
Indobit-A-NYT1986_1501-1568-5.txt,"James Fassett, a former CBS Radio music director and head of its music division, died Wednesday at Pokono Hospital in Stroudsburg, Pa.",radio,KZ-Forms of Music
Indobit-A-NYT1985 - July 1 - Sep 30-82.txt,"Margo, a popular actress and dancer of the 1930's and 40's, died at her home yesterday in Pacific Palisades, Calif. after a long illness.",dancer," 151
"
Indobit-A-NYT1985 - July 1 - Sep 30-82.txt,"Margo, a popular actress and dancer of the 1930's and 40's, died at her home yesterday in Pacific Palisades, Calif. after a long illness.",popular,KZ-Genre
Indobit-A-NYT1981 - Oct 1 - Dec 31-128.txt,"Edward Caton, a Russian-born American dancer, teacher and choreographer, died of cancer Thursday night in Lenox Hill Hospital.",choreographer," 962
"
Indobit-A-NYT1981 - Oct 1 - Dec 31-128.txt,"Edward Caton, a Russian-born American dancer, teacher and choreographer, died of cancer Thursday night in Lenox Hill Hospital.",dancer," 151
"
Indobit-A-NYT1984_1001-1500-73.txt,"Dr. Henry Sage Fenimore Cooper, a surgeon in New York City for nearly 60 years, died of a brain tumor Monday at Mary Imogene Bassett Hospital in Cooperstown, N.Y.",surgeon," 070
"
Indobit-A-NYT1985 - April 1 - June 30-147.txt,"Henry Sellin, former director of the Institute on Federal Taxation at New York University, died Wednesday at Roosevelt Hospital.",director," 150, 159
"
Indobit-A-NYT1987 - April 1 - June 30-346.txt,"Mark Olf, a composer and singer of Yiddish and Hebrew songs, died of leukemia Sunday at Booth Memorial Hospital in Queens.",composer," 152
"
Indobit-A-NYT1987 - April 1 - June 30-346.txt,"Mark Olf, a composer and singer of Yiddish and Hebrew songs, died of leukemia Sunday at Booth Memorial Hospital in Queens.",singer," 152
"
Indobit-A-NYT1986_501-1000-197.txt,"David Holmes McKillop, a former deputy chief of mission at the United States Embassies in Tunis and Brussels and a former director of the State Department's Office of Western European Affairs, died Wednesday of a stroke in Washington.",director," 150, 159
"
Indobit-A-NYT1982_501-1000-25.txt,"Charles J. Garrity, an assistant director of public information for New Jersey who had served as press secretary to former Gov.",director," 150, 159
"
Indobit-A-NYT1981 - April 1 - June 30-279.txt,"Frank J. Scherschel, a staff photographer for Life magazine who covered World War II in Europe, including the liberation of Paris, and in the Pacific, died Saturday in St. Mary's Hospital in Madison, Wis. Mr. Scherschel, a resident of Baraboo, Wis., was 74 years old.",photographer," 143
"
Indobit-A-NYT1985 - July 1 - Sep 30-344.txt,"Johnny Desmond, the singer and actor who rose to fame as a vocalist with Glenn Miller's swing band, died of cancer on Friday night at Cedars-Sinai Medical Center in Los Angeles.",singer," 152
"
Indobit-A-NYT1985 - July 1 - Sep 30-344.txt,"Johnny Desmond, the singer and actor who rose to fame as a vocalist with Glenn Miller's swing band, died of cancer on Friday night at Cedars-Sinai Medical Center in Los Angeles.",actor," 150
"
Indobit-A-NYT1983 - Oct 1 - Dec 31-1.txt,"Clifford Evans, vice president and Washington news bureau director of the RKO General Broadcasting Corporation, died here Thursday after suffering a pulmonary aneurysm.",director," 150, 159
"
Indobit-A-NYT1980_1-500-292.txt,"George Link Jr., a former judge and lawyer who served as personal attorney to the Duke of Windsor, died Saturday at his home in Tenafly, N.J., after a short illness.",lawyer," 110–111
"
Indobit-A-NYT1980_1-500-292.txt,"George Link Jr., a former judge and lawyer who served as personal attorney to the Duke of Windsor, died Saturday at his home in Tenafly, N.J., after a short illness.",judge," 111
"
Indobit-A-NYT1984_1-500-288.txt,"Bishop Charles Alfred Voegeli, a former Episcopal Bishop in Haiti who was forced at gunpoint to leave that country in 1964, died of a heart attack Friday at his home in Brooklyn Heights.",country,KZ-Genre
Indobit-A-NYT1981 - July 1 - Sep 30-271.txt,"Audrey McMahon, who administered the Federally financed project that put artists to work during the Depression, died of a heart ailment at her home in Greenwich Village on Aug. 20.",artist," 141, 144
"
Indobit-A-NYT1981 - July 1 - Sep 30-271.txt,"Audrey McMahon, who administered the Federally financed project that put artists to work during the Depression, died of a heart ailment at her home in Greenwich Village on Aug. 20.",artists," 141, 144
"
Indobit-A-NYT1981 - Oct 1 - Dec 31-283.txt,"Dr. John Edwin Pomfret, a historian and former president of the College of William and Mary, died yesterday in Camden, S.C., after a brief illness.",historian," 052
"
Indobit-A-NYT1987 - April 1 - June 30-290.txt,"Peter Coe, a British director who reached a career peak in 1961 when he had three hits running simultaneously in London's West End - ''The Miracle Worker,'' ''The World of Suzie Wong'' and ''Oliver!''",director," 150, 159
"
Indobit-A-NYT1983 - July 1 - Sep 30-188.txt,"Agnes Pall, the director of the Young Men's Christian Association's Center for International Management Studies and an associate director of the Y.M.C.A.",director," 150, 159
"
Indobit-A-NYT1983 - Oct 1 - Dec 31-34.txt,"NEW YORK Cardinal Terence Cooke rose to a great height in the Roman Catholic Church without losing the simplicity and soul of a village priest. He was the seventh archbishop of New York, named to that high ecclesiastical post in 1968 by Pope Paul VI.",soul,KZ-Genre
Indobit-A-NYT1986_1001-1500-90.txt,"Robert D. Wood, the former president of the CBS television network who ushered in television's ''era of relevancy'' in the 1970's, died of a heart attack Tuesday in Santa Monica, Calif.",usher," 344
"
