fn,firstSentence,basedOn,code
Indobit-A-NYT1980_1-500-473.txt,"John Marshall, former associate director of the humanities and social sciences of the Rockefeller Foundation, died Friday at Norwalk Hospital in Connecticut.",director," 150, 159
"
Indobit-A-NYT1987 - Jan 1 - March 31-169.txt,"Dr. Jerome S. Coles, a physician who was chairman of the trustees of New York University Medical Center, died in his sleep Thursday at his Manhattan apartment.",physician," 070
"
Indobit-A-NYT1981 - July 1 - Sep 30-295.txt,"Prof. Elias J. Bickerman, a historian and authority on the influence of the Greeks in the Middle East at the time of Jesus and before, died Monday in Tel Aviv, where he was on vacation.",historian," 052
"
Indobit-A-NYT1987 - July 1 - Aug 31-111.txt,"Dr. Thomas C. McGinnis, a psychotherapist, writer and radio commentator, died of lung cancer Monday at his home in Fair Lawn, N.J.",radio,KZ-Forms of Music
Indobit-A-NYT1981 - July 1 - Sep 30-391.txt,"Sara Haden, who played crotchety characters during her Hollywood career, died last Tuesday at the Motion Picture and Television Country House and Hospital in Woodland Hills.",country,KZ-Genre
Indobit-A-NYT1985 - April 1 - June 30-98.txt,"Lynn A. Williams, a Chicago lawyer and industrialist who distinguished himself as a founder of the Great Books Foundation, a Democratic maverick and a prominent yachtsman, died Sunday at Evanston Hospital of complications after a heart attack.",lawyer," 110–111
"
Indobit-A-NYT1986_1501-1568-21.txt,"Harvey Stephens, a longtime character actor who appeared on Broadway and in films, died Monday at the Saddleback Medical Center.",actor," 150
"
Indobit-A-NYT1985 - April 1 - June 30-110.txt,"Peter Testan, an early ham-radio operator and a former officer and chief engineer of radio stations WBBC in Brooklyn and WVNJ in Newark, died April 18 at Morristown (N.J.) Memorial Hospital.",radio,KZ-Forms of Music
Indobit-A-NYT1985 - Oct 1 - Dec 31-182.txt,"Dr. Mortimer B. Lipsett, director of the National Institute of Arthritis, Diabetes, Digestive and Kidney Diseases, died of cancer Sunday at the Magnuson Clinical Center of the National Institutes of Health.",director," 150, 159
"
Indobit-A-NYT1986_501-1000-493.txt,"Serge Lifar, the colorful, internationally known dancer and choreographer who, as director of the Paris Opera Ballet, was considered the chief architect of modern French ballet, died Monday in Lausanne, Switzerland.",architect," 001
"
Indobit-A-NYT1986_501-1000-493.txt,"Serge Lifar, the colorful, internationally known dancer and choreographer who, as director of the Paris Opera Ballet, was considered the chief architect of modern French ballet, died Monday in Lausanne, Switzerland.",choreographer," 962
"
Indobit-A-NYT1986_501-1000-493.txt,"Serge Lifar, the colorful, internationally known dancer and choreographer who, as director of the Paris Opera Ballet, was considered the chief architect of modern French ballet, died Monday in Lausanne, Switzerland.",dancer," 151
"
Indobit-A-NYT1986_501-1000-493.txt,"Serge Lifar, the colorful, internationally known dancer and choreographer who, as director of the Paris Opera Ballet, was considered the chief architect of modern French ballet, died Monday in Lausanne, Switzerland.",director," 150, 159
"
Indobit-A-NYT1986_501-1000-493.txt,"Serge Lifar, the colorful, internationally known dancer and choreographer who, as director of the Paris Opera Ballet, was considered the chief architect of modern French ballet, died Monday in Lausanne, Switzerland.",opera,KZ-Forms of Music
Indobit-A-NYT1987 - April 1 - June 30-276.txt,"Turk Murphy, a trombonist and founding father of the traditional jazz revival that began in the San Francisco area in the 1940's, died of cancer Saturday at his home in San Francisco.",jazz,KZ-Genre
Indobit-A-NYT1985 - Jan 1 - March 31-120.txt,"Alex Pisciotta, a lawyer and a former director of the New York City Bureau of Weights and Measures, died Thursday at the St. James (L.I.)",lawyer," 110–111
"
Indobit-A-NYT1985 - Jan 1 - March 31-120.txt,"Alex Pisciotta, a lawyer and a former director of the New York City Bureau of Weights and Measures, died Thursday at the St. James (L.I.)",director," 150, 159
"
Indobit-A-NYT1986_1-500-302.txt,"John Greco, a lawyer who built the Waterbury, Conn., shrine and tourist attaction known as Holy Land, U.S.A., died Sunday at Monsignor Bojnowski Manor nursing home after a long illness.",lawyer," 110–111
"
Indobit-A-NYT1983 - Jan 1 - March 31-167.txt,"Robert Christian, a member of the Negro Ensemble Company, who received an Obie award in 1976 for his performance in ''Blood Knot'' by Athol Fugard at the Manhattan Theater Club, died of cancer Thursday in New York City.",performance,KZ-Forms of Music
Indobit-A-NYT1985 - Oct 1 - Dec 31-150.txt,"LOS ANGELES A crowd of about 500 people gathered at the Directors Guild Theater today and heard Orson Welles hailed as a creative genius who ''mastered the art of his profession but not its games.'' That theme, expressed by Greg Garrison, a television producer, pervaded the memorial for Mr. Welles, the creator of the film classic ''Citizen Kane,'' who died of a heart attack Oct. 10 at the age of 70.",producer," 159, 187, 962
"
Indobit-A-NYT1986_501-1000-121.txt,"Mark Hiram Hawley, who at age 19 became the announcer for Guy Lombardo's first New Year's Eve broadcast on CBS, died Sept. 5 of a heart attack in his home in San Jacinto, Calif.",announcer," 159
"
Indobit-A-NYT1981 - Oct 1 - Dec 31-211.txt,"Dr. Milton L. Berliner, surgeon director of ophthalmology at the New York Eye and Ear Infirmary and director of ophthalmology at Beth Israel Hospital, died last Friday at his Manhattan home.",surgeon," 070
"
Indobit-A-NYT1981 - Oct 1 - Dec 31-211.txt,"Dr. Milton L. Berliner, surgeon director of ophthalmology at the New York Eye and Ear Infirmary and director of ophthalmology at Beth Israel Hospital, died last Friday at his Manhattan home.",director," 150, 159
"
Indobit-A-NYT1985 - April 1 - June 30-118.txt,"Mark Starr, the education director of the International Ladies Garment Workers Union for 25 years and a longtime activist in political and civic affairs, died of pneumonia Wednesday at Boulevard Hospital in Sunnyside, Queens.",director," 150, 159
"
Indobit-A-NYT1984_1001-1500-461.txt,"Frederick Daniels, a former director of the Brooklyn Bureau of Social Service and the Children's Aid Society, died of cancer Nov. 28 at the Doylestown (Pa.) Memorial Hospital.",director," 150, 159
"
Indobit-A-NYT1985 - Oct 1 - Dec 31-130.txt,"Dr. David John Rose, a professor of nuclear engineering at the Massachusetts Institute of Technology, died of emphysema Thursday at Mt.",nuclear engineer," 015
"
Indobit-A-NYT1982_1-500-364.txt,"Madeleine Darling Payne, a fashion coordinator and magazine editor, died Friday at Palisades General Hospital in North Bergen, N.J. Mrs. Payne, a resident of Mamaroneck, N.Y., was 76 years old.",magazine editor," 132
"
Indobit-A-NYT1987 - April 1 - June 30-40.txt,"Maxine Sullivan, whose cool, precise and rhythmic singing of the Scottish folk song ''Loch Lomond'' in the late 1930's gave her an identity that remained with her throughout her career, died of heart failure Tuesday at Westchester Square Hospital in the Bronx.",folk,KZ-Genre
Indobit-A-NYT1987 - April 1 - June 30-40.txt,"Maxine Sullivan, whose cool, precise and rhythmic singing of the Scottish folk song ''Loch Lomond'' in the late 1930's gave her an identity that remained with her throughout her career, died of heart failure Tuesday at Westchester Square Hospital in the Bronx.",song,KZ-Forms of Music
Indobit-A-NYT1982_1001-1500-370.txt,"Sidney A. Wolff, a labor arbitrator and trial lawyer, died yesterday at his Manhattan home after a short illness.",lawyer," 110–111
"
Indobit-A-NYT1982_1001-1500-399.txt,"William H. Wisely, retired executive director of the American Society of Civil Engineers, died Tuesday in Martha Jefferson Hospital in Charlottesville, Va.",director," 150, 159
"
Indobit-A-NYT1982_1-500-25.txt,"Hans Conried, a versatile character actor and comedian who entertained audiences on stage, radio and television and in films for more than 40 years, died of a heart attack yesterday in a hospital in Burbank, Calif. A resident of Hollywood, he was 66 years old.",actor," 150
"
Indobit-A-NYT1982_1-500-25.txt,"Hans Conried, a versatile character actor and comedian who entertained audiences on stage, radio and television and in films for more than 40 years, died of a heart attack yesterday in a hospital in Burbank, Calif. A resident of Hollywood, he was 66 years old.",radio,KZ-Forms of Music
Indobit-A-NYT1981 - July 1 - Sep 30-429.txt,"Harold F. Johnson, a lawyer who gave the initial $6 million to found Hampshire College, an innovative liberal arts college in Amherst, Mass., died yesterday at Southampton Hospital on Long Island.",lawyer," 110–111
"
Indobit-A-NYT1983 - Oct 1 - Dec 31-9.txt,"Freddy Martin, who led a big band for more than 50 years and who helped establish the ''sweet'' jazz sound, died Friday in Newport Beach, Calif., where he lived.",jazz,KZ-Genre
Indobit-A-NYT1983 - Oct 1 - Dec 31-9.txt,"Freddy Martin, who led a big band for more than 50 years and who helped establish the ''sweet'' jazz sound, died Friday in Newport Beach, Calif., where he lived.",Band,KZ-Group
Indobit-A-NYT1984_1-500-245.txt,"Henry J. Taylor, an author, radio broadcaster and former United States Ambassador to Switzerland, died yesterday at his home in Manhattan after a brief illness.",radio,KZ-Forms of Music
Indobit-A-NYT1981 - July 1 - Sep 30-224.txt,"Estelle T. Griswold, former executive director of the Planned Parenthood League of Connecticut, died last Thursday at her home in Fort Myers, Fla. She was 81 years old and had lived in Essex, Conn. Mrs. Griswold was instrumental in bringing about the United States Supreme Court's overturning in 1965 of Connecticut's law against the use of contraceptives.",director," 150, 159
"
Indobit-A-NYT1985 - Oct 1 - Dec 31-317.txt,"Dr. Zygmunt A. Piotrowski, a psychologist and expert on the use of the Rorschach test, died at Hahnemann Hospital in Philadelphia on Nov. 28.",psychologist," 045
"
Indobit-A-NYT1982_1001-1500-78.txt,"Michael M. Skodnick, former judge of Criminal Court, died Sunday at Presbyterian Hospital.",judge," 111
"
Indobit-A-NYT1987 - April 1 - June 30-168.txt,"Colin Blakely, whose consistently superb performances in mostly supporting roles made him one of Britain's most popular actors, died of leukemia Thursday in London.",actor," 150
"
Indobit-A-NYT1987 - April 1 - June 30-168.txt,"Colin Blakely, whose consistently superb performances in mostly supporting roles made him one of Britain's most popular actors, died of leukemia Thursday in London.",actors," 150
"
Indobit-A-NYT1987 - April 1 - June 30-168.txt,"Colin Blakely, whose consistently superb performances in mostly supporting roles made him one of Britain's most popular actors, died of leukemia Thursday in London.",popular,KZ-Genre
Indobit-A-NYT1986_501-1000-18.txt,"Ben C. Duniway, a senior judge on the United States Court of Appeals for the Ninth Circuit, has died after a short illness.",judge," 111
"
Indobit-A-NYT1983 - Oct 1 - Dec 31-27.txt,"Lucille Armstrong, 69, WidowOf Jazz Trumpeter and Singer BOSTON, Oct. 4 (AP) - Lucille Armstrong, widow of Louis (Satchmo) Armstrong, the great jazz trumpeter, died of cardiac arrest Monday night in Beth Israel Hospital.",jazz,KZ-Genre
Indobit-A-NYT1981 - Oct 1 - Dec 31-172.txt,"Louis Metcalf, a jazz trumpet player who was a member of the Duke Ellington Orchestra that opened the Cotton Club in Harlem in 1927, died Tuesday at Mary Immaculate Hospital in Jamaica, Queens.",jazz,KZ-Genre
Indobit-A-NYT1981 - Oct 1 - Dec 31-172.txt,"Louis Metcalf, a jazz trumpet player who was a member of the Duke Ellington Orchestra that opened the Cotton Club in Harlem in 1927, died Tuesday at Mary Immaculate Hospital in Jamaica, Queens.",trumpet,KZ-Instrument
Indobit-A-NYT1981 - Oct 1 - Dec 31-172.txt,"Louis Metcalf, a jazz trumpet player who was a member of the Duke Ellington Orchestra that opened the Cotton Club in Harlem in 1927, died Tuesday at Mary Immaculate Hospital in Jamaica, Queens.",Orchestra,KZ-Group
Indobit-A-NYT1980_501-904-359.txt,"John H. Williams, an economist and the first dean of the Harvard Graduate School of Public Administration, died Wednesday.",economist," 050
"
Indobit-A-NYT1982_1001-1500-82.txt,"Richard A. Hoefer, a former publisher of House Beautiful magazine and a director of the Hearst Corporation, died Friday at Lawrence Hospital in Bronxville, N.Y.",director," 150, 159
"
Indobit-A-NYT1985 - Oct 1 - Dec 31-186.txt,"Curtis D. MacDougall, a journalist, teacher and author, died Sunday.",journalist," 131–132
"
Indobit-A-NYT1982_1-500-315.txt,"Edward J. Garrett, chairman and president of the Instrument Systems Corporation of Jericho, L.I., died yesterday at New York University Medical Center.",instrument,KZ-Instrument
Indobit-A-NYT1985 - Jan 1 - March 31-50.txt,"Charles Evans Hughes 3d, the architect who played the major role in the design of the Manufacturers Hanover Bank on Fifth Avenue and 43d Street, a four-story glass box built in 1954 that was widely believed to set the architecture of banks in a new direction, died Monday in New York.",architect," 001
"
Indobit-A-NYT1985 - Jan 1 - March 31-41.txt,"Johnny Guarnieri, one of the leading jazz pianists of the swing era, who played in the bands of both Benny Goodman and Artie Shaw in the early 1940's, died of a heart attack Monday at St. Barnabas Hospital in Livingston, N.J.",jazz,KZ-Genre
Indobit-A-NYT1981 - July 1 - Sep 30-397.txt,"Richard M. Dorson, a historian who helped elevate folklore in the United States from an esoteric concern to a field for scholarly inquiry, died Sept. 11 in the Bloomington (Ind.)",historian," 052
"
Indobit-A-NYT1983 - Jan 1 - March 31-34.txt,"David J. Anderson, a builder and real estate developer in the Caribbean, died of a heart attack Monday at Brookhaven Memorial Hospital on Long Island.",real estate developer," 189
"
Indobit-A-NYT1983 - Jan 1 - March 31-359.txt,"Victor Chapin, vice president of John Schaffner Associates, a literary agency, and a former actor and author, died of a heart attack on March 4 in his Manhattan home.",actor," 150
"
Indobit-A-NYT1986_501-1000-20.txt,"Lorenzo Tucker, a stage and screen actor who played leading roles in early black films, died of lung cancer Aug. 19 at his home in Los Angeles.",actor," 150
"
Indobit-A-NYT1982_1001-1500-300.txt,"Dr. Abraham N. Franzblau, a psychiatrist, a leader in Reform Jewish education and a founder of the Hebrew Union College School for Teachers in New York City, died yesterday of a heart ailment at Mount Sinai Hospital.",psychiatrist," 070
"
Indobit-A-NYT1986_1-500-207.txt,"Sadi Koylan, a retired announcer who broadcast news to Turkey for the Voice of America, died of cancer Friday at his home in East Hampton, L.I.",announcer," 159
"
Indobit-A-NYT1982_1-500-369.txt,"Don S. Holt, retired chairman of the board and chief executive officer of the Cannon Mills Company, the giant textile producer, died Saturday at his home in Charlotte, N.C., of heart failure after a prolonged illness.",producer," 159, 187, 962
"
Indobit-A-NYT1981 - July 1 - Sep 30-433.txt,"Sonia Gore, an opera patron amd member of the National Council of the Metropolitan Opera Company in New York, died Wednesday at her home in Boca Raton, Fla. She was 93 years old.",opera,KZ-Forms of Music
Indobit-A-NYT1986_1-500-392.txt,"Sir Peter Pears, a British tenor celebrated for his profound and original interpretations, died of a heart attack yesterday in Aldeburgh, England.",tenor,KZ-Instrument
Indobit-A-NYT1984_1-500-280.txt,"Roland Culver, a British actor who played the role of an impeccable gentleman in more than 40 plays in Britain and more than 50 British and American movies, died of a heart ailment Wednesday at his home in London.",actor," 150
"
Indobit-A-NYT1982_1-500-278.txt,"Tobias Simon, a lawyer known for his defense of the Rev.",lawyer," 110–111
"
Indobit-A-NYT1987 - Jan 1 - March 31-149.txt,"Donald S. Lowitz, a Chicago lawyer who was the chief United States delegate to the United Nations Disarmament Conference here, died Saturday, apparently of a heart attack, American officials said today.",lawyer," 110–111
"
Indobit-A-NYT1981 - July 1 - Sep 30-81.txt,"Tibor Udvardy, a Hungarian tenor whose opera appearances ranged from New York to Moscow, died of a heart attack today.",tenor,KZ-Instrument
Indobit-A-NYT1981 - July 1 - Sep 30-81.txt,"Tibor Udvardy, a Hungarian tenor whose opera appearances ranged from New York to Moscow, died of a heart attack today.",opera,KZ-Forms of Music
Indobit-A-NYT1984_1-500-360.txt,"George Hugo Boldt, a retired Federal district judge who wrote a far-reaching decision on Indian economic rights and served a stormy term as President Nixon's wage controller, died Sunday at the American Lake Veterans Administration Hospital near Lakewood, Wash.",controller," 186
"
Indobit-A-NYT1984_1-500-360.txt,"George Hugo Boldt, a retired Federal district judge who wrote a far-reaching decision on Indian economic rights and served a stormy term as President Nixon's wage controller, died Sunday at the American Lake Veterans Administration Hospital near Lakewood, Wash.",judge," 111
"
Indobit-A-NYT1983 - Jan 1 - March 31-239.txt,"Manny Warman, Columbia University's official photographer for 37 years, died of a heart attack on Saturday at his home in Rego Park, Queens.",photographer," 143
"
Indobit-A-NYT1986_1-500-355.txt,"Helen A. Murphy, who was for more than 45 years the director of the Children's Theater and the Adult Theater of Greenwich House, a community center in lower Manhattan, died Friday at Massachusetts General Hospital in Boston.",director," 150, 159
"
