fn,firstSentence,confidence,codes
Indobit-A-NYT1985 - July 1 - Sep 30-13.txt," who with his wife, Dorothy, channeled about $500 million to charitable, civic, religious, social, educational, medical and cultural beneficiaries",10.070309278350516,isco08-112,isco08-1120,occ2000-043
Indobit-A-NYT1983 - Jan 1 - March 31-249.txt," who had served as press secretary for the Police, Fire and Sanitation Departments and for former Mayor Robert F. Wagner",1.1376643768400394,occ2000-282,isco08-1219,isco08-2642
Indobit-A-NYT1985 - Oct 1 - Dec 31-8.txt, widow of the Metropolitan Opera tenor Richard Tucker,1.1449653259361998,KZ-Music,isco08-2652,isco08-0
Indobit-A-NYT1982_501-1000-151.txt, administrative judge of the Civil Court of New York City and an acting State Supreme Court justice,1.479245986081429,isco08-2612,occ2000-211,111
Indobit-A-NYT1984_1-500-179.txt, a makeup editor at The New York Times since 1966 and a former associate news editor of The New York Herald Tribune,2.364108224525508,isco08-2641,isco08-2642,isco08-2651
Indobit-A-NYT1983 - Oct 1 - Dec 31-226.txt, chief surgeon of gynecology and obstetrics at the Woman's Division of St. Luke's Hospital from 1938 to 1958,10.136830294530153,isco08-2310,isco08-231,isco08-2212
Indobit-A-NYT1983 - April 1 - June 30-172.txt," a New York lawyer who was one of the most influential aides of Howard Hughes, the reclusive billionaire industrialist",1.3923733170667942,isco08-2611,isco08-1120,isco08-12
Indobit-A-NYT1982_1-500-461.txt, the Canadian conductor,10.205824964131994,isco08-1120,isco08-112,150
Indobit-A-NYT1985 - Jan 1 - March 31-230.txt, who became the first woman to head the news staff of a major American daily newspaper in her own right,5.001695873374788,occ2000-490,961,297
Indobit-A-NYT1981 - Jan 1 - March 31-15.txt, one of the original members of the Platters singing group formed in the 1950's,0.1386046511627907,KZ-Music,occ2000-770,occ2000-270
Indobit-A-NYT1980_1-500-473.txt, former associate director of the humanities and social sciences of the Rockefeller Foundation,1.6633218025873098,isco08-1120,isco08-12,150
Indobit-A-NYT1985 - April 1 - June 30-70.txt, the Yugoslav-born sculptor who made more than 50 likenesses of Sir Winston Churchill,1.5676391453442364,isco08-2651,occ2000-260,occ2000-770
Indobit-A-NYT1986_1001-1500-5.txt, whose career stretched from silent movies to television,1.2836187399030694,isco08-2655,isco08-2654,naics-71
Indobit-A-NYT1987 - Jan 1 - March 31-169.txt, a physician who was chairman of the trustees of New York University Medical Center,5.927281810167499,isco08-112,occ2000-043,occ2000-041
Indobit-A-NYT1985 - July 1 - Sep 30-76.txt, former president and chairman of the board of the Geigy Chemical Corporation,3.6657496879017684,isco08-1120,isco08-112,isco08-11
Indobit-A-NYT1981 - July 1 - Sep 30-295.txt, a historian and authority on the influence of the Greeks in the Middle East at the time of Jesus and before,10.084377856780092,isco08-231,isco08-2310,isco08-263
Indobit-A-NYT1987 - April 1 - June 30-241.txt, the feminist author,2.1644444444444444,isco08-2641,isco08-264,occ2000-285
Indobit-A-NYT1981 - Jan 1 - March 31-226.txt, a former Presbyterian minister and a pioneer in the nudism movement in the United States,10.01409001956947,isco08-2641,isco08-264,occ2000-003
