word,code(s)
ammunition supervisor,occ2000-770
amortization clerk,occ2000-512
amplifier mechanic,occ2000-710
ampoule examiner,occ2000-874
ampoule filler,occ2000-880
ampoule inspector,occ2000-874
ampoule sealer,occ2000-880
ampoule washing machine operator,occ2000-886
amusement and recreation attendant,"342, 349"
amusement and recreation attendants,"342, 349"
amusement concession attendant,occ2000-443
amusement machine mechanic,occ2000-751
amusement or recreation card checker,occ2000-443
amusement park entertainer,occ2000-276
amusement park worker,occ2000-443
analysis tester,occ2000-155
analyst ,"occ2000-054, occ2000-100, occ2000-172, occ2000-122"
analyst \ specified type--see type of analyst,occ2000-
analyst sales,occ2000-071
analytical chemist,occ2000-172
analytical chemistry teacher,occ2000-220
analytical clerk,occ2000-592
analytical statistician,occ2000-123
analyzer sales,occ2000-071
anatomist,"041, occ2000-165"
anatomists,041
anatomy teacher,occ2000-220
anchor operator,occ2000-834
anchorer,occ2000-834
anesthesiologist,"070, occ2000-306"
anesthesiologist assistant,occ2000-311
anesthesiologists,070
anesthesiology teacher,occ2000-220
anesthetic assistant,occ2000-311
"anesthetist--see ""nurse anesthetist""",occ2000-
angle bender,occ2000-652
angle dozer operator,occ2000-632
angle furnaceman,occ2000-762
angle shear set up operator,occ2000-795
angle shearer,occ2000-871
anglesmith,occ2000-762
anglesmith helper,occ2000-895
aniline press man,occ2000-826
animal anatomist,occ2000-325
animal anatomy teacher,occ2000-220
animal bounty hunter,occ2000-611
animal breeder,occ2000-602
animal control officer,occ2000-390
animal cruelty investigation supervisor,occ2000-373
animal eviscerator,occ2000-781
animal feed products sales,occ2000-485
animal feeder,"occ2000-605, occ2000-435"
animal hospital clerk,occ2000-586
animal husbandman,"occ2000-160, occ2000-020, occ2000-021"
animal husbandry manager,occ2000-020
animal husbandry teacher,occ2000-220
animal husbandry worker,occ2000-605
animal keeper ,"occ2000-605, occ2000-435"
animal killer,occ2000-781
animal laboratory helper,occ2000-435
animal medicine veterinarian,occ2000-325
animal nutrition teacher,occ2000-220
animal or dog sitter,occ2000-435
animal pathologist,occ2000-325
animal pathology teacher,occ2000-220
animal physiologist,occ2000-325
animal physiology teacher,occ2000-220
animal ride attendant,occ2000-443
animal rides manager,occ2000-443
animal scientist,occ2000-160
animal shelter clerk,occ2000-586
animal skinner,occ2000-781
animal sticker,occ2000-781
animal stunner,occ2000-781
animal surgeon,occ2000-325
animal technician,occ2000-341
animal trainer,occ2000-434
animal trapper,occ2000-611
animal treatment investigator,occ2000-390
animal warden,occ2000-390
animals wage hand,occ2000-605
animated cartoons painter,occ2000-260
animator,"occ2000-260, isco08-2651"
ankle patch molder,occ2000-834
annealer,"occ2000-873, occ2000-815"
annealer helper,occ2000-895
annealing furnace operator,occ2000-815
annealing furnace tender,occ2000-815
annealing oven operator,occ2000-815
annealing torch operator,occ2000-815
announcer,"159, isco08-2656"
announcers,159
anode builder,occ2000-772
anode crew supervisor,occ2000-770
