term,code(s)
security guards,"372, 376"
security guard,"372, 376"
firefighters,373
firefighter,373
border patrol agents,375
border patrol agent,375
fbi special agents,375
fbi special agent,375
state police officers,375
state police officer,375
police officers,"375, 377"
police officer,"375, 377"
ambulance drivers,"375, 913"
ambulance driver,"375, 913"
lifeguards,379
lifeguard,379
building custodians,381–382
building custodian,381–382
pest control workers,"383, 389"
pest control worker,"383, 389"
window cleaners,389
window cleaner,389
grain farmers,401
grain farmer,401
vegetable farmers,"401–402, 404"
vegetable farmer,"401–402, 404"
fruit growers,403
fruit grower,403
"cotton, tobacco, and peanut farmers",404
"cotton, tobacco, and peanut farmer",404
dairy farmers,410
dairy farmer,410
laboratory animal care workers,410
laboratory animal care worker,410
livestock farmers,410
livestock farmer,410
small animal breeders,410
small animal breeder,410
zoo animal caretakers,"410, 412"
zoo animal caretaker,"410, 412"
poultry farmers,411
poultry farmer,411
farm laborers,421
farm laborer,421
farm managers,421
farm manager,421
farm office workers,421
farm office worker,421
fishers,"441–442, 446"
fisher,"441–442, 446"
fish culture technicians,446
fish culture technician,446
forestry technicians,"451–455, 459"
forestry technician,"451–455, 459"
loggers,"454–455, 921–922, 929"
logger,"454–455, 921–922, 929"
lumber mill workers,"455, 665, 667, 921"
lumber mill worker,"455, 665, 667, 921"
electroplaters,500
electroplater,500
recycling and reclamation workers,"512, 515"
recycling and reclamation worker,"512, 515"
meat packing workers,"520–523, 525–526, 529, 910"
meat packing worker,"520–523, 525–526, 529, 910"
tobacco industry workers,"520–523, 529, 790, 920"
tobacco industry worker,"520–523, 529, 790, 920"
"candy, soft drink, and ice cream manufacturing workers","520–524, 526, 529"
"candy, soft drink, and ice cream manufacturing worker","520–524, 526, 529"
cheese industry workers,"520–524, 526, 529"
cheese industry worker,"520–524, 526, 529"
food canning and freezing workers,"520–526, 529"
food canning and freezing worker,"520–526, 529"
quality control inspectors,"529, 579, 649, 652, 701, 725–726"
quality control inspector,"529, 579, 649, 652, 701, 725–726"
integrated circuit technicians,590
integrated circuit technician,590
semiconductor processors,590
semiconductor processor,590
production painters,"599, 741"
production painter,"599, 741"
all-round machinists,600
all-round machinist,600
instrument makers,"600, 729–730"
instrument maker,"600, 729–730"
tool and die makers,601
tool and die maker,601
boilermaking workers,"601, 805"
boilermaking worker,"601, 805"
machine tool operators,"602–607, 609"
machine tool operator,"602–607, 609"
industrial laser machine operators,609
industrial laser machine operator,609
numerical control machine operators,609
numerical control machine operator,609
railroad maintenance workers,"610, 622, 804–805, 824"
railroad maintenance worker,"610, 622, 804–805, 824"
blacksmiths and forge shop workers,610–612
blacksmiths and forge shop worker,610–612
automotive mechanics,620
automotive mechanic,620
motorcycle mechanics,620
motorcycle mechanic,620
construction equipment mechanics,"620, 625"
construction equipment mechanic,"620, 625"
flight engineers,621
flight engineer,621
aircraft mechanics,"621, 806"
aircraft mechanic,"621, 806"
boat motor mechanics,623
boat motor mechanic,623
diesel mechanics,625
diesel mechanic,625
marine-services technicians,"625, 825"
marine-services technician,"625, 825"
industrial machinery repairers,626–631
industrial machinery repairer,626–631
gunsmiths,632
gunsmith,632
computer servicers,633
computer servicer,633
office machine servicers,633
office machine servicer,633
appliance service workers,"637, 723, 827"
appliance service worker,"637, 723, 827"
"air conditioning, heating, and refrigeration mechanics","637, 827, 862"
"air conditioning, heating, and refrigeration mechanic","637, 827, 862"
automated manufacturing managers,638
automated manufacturing manager,638
bowling pin machine mechanics,638
bowling pin machine mechanic,638
construction millwrights,638
construction millwright,638
hydraulic maintenance technicians,638
hydraulic maintenance technician,638
bicycle repairers,639
bicycle repairer,639
prepress workers,"650, 973, 979"
prepress worker,"650, 973, 979"
printing press operators,652
printing press operator,652
bookbinders,"653, 977"
bookbinder,"653, 977"
craftspeople,"700, 774, 979"
craftspeopl,"700, 774, 979"
assemblers,"700–703, 706, 720–729, 806, 820–82893197C"
assembler,"700–703, 706, 720–729, 806, 820–82893197C"
composite technicians,701
composite technician,701
locksmiths,709
locksmith,709
instrument repairers,"710, 729, 823"
instrument repairer,"710, 729, 823"
dental laboratory technicians,712
dental laboratory technician,712
watch repairers,715
watch repairer,715
television and radio service technicians,720
television and radio service technician,720
power tool repairers,729
power tool repairer,729
piano and organ tuners and technicians,"730, 828"
piano and organ tuners and technician,"730, 828"
architectural model makers,777
architectural model maker,777
custom upholsterers,780
custom upholsterer,780
industrial upholsterers,"780, 869"
industrial upholsterer,"780, 869"
custom tailors and dressmakers,785
custom tailors and dressmaker,785
iron and steel workers,"801, 809, 869"
iron and steel worker,"801, 809, 869"
sheet metal workers,804
