term,code(s)
eccentric dancer,occ2000-274
go-go dancer,occ2000-274
line dancer,occ2000-274
precision dancer,occ2000-274
professional dancer,occ2000-274
soft shoe dancer,occ2000-274
song and dance performer,occ2000-274
square dance caller,occ2000-274
strip teaser,occ2000-274
stripper ,occ2000-274
tap dancer,occ2000-274
accompanist,occ2000-275
music arranger,occ2000-275
band director,occ2000-275
band leader,occ2000-275
band master,occ2000-275
bell ringer,occ2000-275
bugler,occ2000-275
bull fiddle player,occ2000-275
calliope player,occ2000-275
cantor,occ2000-275
cellist,occ2000-275
choir director,occ2000-275
choir leader,occ2000-275
choir singer,occ2000-275
choirmaster,occ2000-275
chorister,occ2000-275
chorus,occ2000-275
chorus master,occ2000-275
church organist,occ2000-275
music composer,occ2000-275
concert artist,occ2000-275
concert pianist,occ2000-275
concert singer,occ2000-275
music copyist,occ2000-275
cornetist,occ2000-275
director of music,occ2000-275
drummer,occ2000-275
free lance musician,occ2000-275
guitar player,occ2000-275
harpist,occ2000-275
instrumentalist,occ2000-275
maestro,occ2000-275
music manager,occ2000-275
minister of music,occ2000-275
music adapter,occ2000-275
music arranger,occ2000-275
music composer,occ2000-275
music director,occ2000-275
music writer,occ2000-275
musician,occ2000-275
musicologist,occ2000-275
opera singer,occ2000-275
orchestra conductor,occ2000-275
orchestra director,occ2000-275
orchestra leader,occ2000-275
orchestrator,occ2000-275
organist,occ2000-275
pianist,occ2000-275
piano player,occ2000-275
recording artist,occ2000-275
singer (vocalist),occ2000-275
soloist,occ2000-275
song writer,occ2000-275
music supervisor,occ2000-275
trombonist,occ2000-275
trumpeter,occ2000-275
violinist,occ2000-275
vocal artist,occ2000-275
vocalist,occ2000-275
acrobat,occ2000-276
aerialist,occ2000-276
amusement park entertainer,occ2000-276
aquatic performer,occ2000-276
astrologer,occ2000-276
bareback rider,occ2000-276
baton twirler,occ2000-276
circus performer,occ2000-276
circus rider,occ2000-276
clairvoyant,occ2000-276
clown,occ2000-276
comedian,occ2000-276
comic,occ2000-276
contortionist,occ2000-276
cowboy,occ2000-276
craniologist,occ2000-276
entertainer,occ2000-276
fortune teller,occ2000-276
freak,occ2000-276
handicapper,occ2000-276
hypnotist,occ2000-276
impersonator,occ2000-276
juggler,occ2000-276
magician,occ2000-276
marionette performer,occ2000-276
medium,occ2000-276
mental telepathist,occ2000-276
mesmerist,occ2000-276
metaphysician,occ2000-276
mind reader,occ2000-276
numerologist,occ2000-276
orator,occ2000-276
organ grinder,occ2000-276
palmist,occ2000-276
penman,occ2000-276
performer,occ2000-276
phrenologist,occ2000-276
prestidigitator,occ2000-276
professional entertainer,occ2000-276
prompter,occ2000-276
psychic reader,occ2000-276
puppet master,occ2000-276
puppeteer,occ2000-276
rodeo performer,occ2000-276
rodeo rider,occ2000-276
rope walker,occ2000-276
show girl,occ2000-276
showman,occ2000-276
spiritualist,occ2000-276
story teller,occ2000-276
stunt performer,occ2000-276
trapeze performer,occ2000-276
tumbler,occ2000-276
variety performer,occ2000-276
ventriloquist,occ2000-276
wire walker,occ2000-276
except radio and television announcer,occ2000-280
radio and television announcer,occ2000-280
barker,occ2000-280
broadcaster,occ2000-280
commercial announcer,occ2000-280
dj,occ2000-280
disk jockey ,occ2000-280
disk jockey ,occ2000-280
radio disk jockey,occ2000-280
game show host or hostess,occ2000-280
host/hostess ,occ2000-280
master of ceremonies,occ2000-280
motion picture narrator,occ2000-280
narrator,occ2000-280
public address announcer,occ2000-280
radio announcer,occ2000-280
radio artist,occ2000-280
radio performer,occ2000-280
radio sportscaster,occ2000-280
ringmaster,occ2000-280
show host or hostess,occ2000-280
sports announcer,occ2000-280
sportscaster,occ2000-280
talent show host or hostess,occ2000-280
television announcer,occ2000-280
train announcer,occ2000-280
train caller,occ2000-280
news anchor,occ2000-281
art critic,occ2000-281
book critic,occ2000-281
book reviewer,occ2000-281
columnist,occ2000-281
commentator,occ2000-281
correspondent,occ2000-281
court reporter,occ2000-281
critic,occ2000-281
cub reporter,occ2000-281
desk reporter,occ2000-281
dramatic critic,occ2000-281
editorial writer,occ2000-281
feature writer,occ2000-281
financial writer,occ2000-281
foreign correspondent,occ2000-281
headline writer,occ2000-281
investigative reporter,occ2000-281
journalist,occ2000-281
law reporter,occ2000-281
leg man,occ2000-281
marine reporter,occ2000-281
market news reporter,occ2000-281
market reporter,occ2000-281
motion picture critic,occ2000-281
movie critic,occ2000-281
news analyst,occ2000-281
news anchor,occ2000-281
news commentator,occ2000-281
news correspondent,occ2000-281
news director,occ2000-281
news reporter,occ2000-281
news specialist,occ2000-281
news writer,occ2000-281
newscaster,occ2000-281
newspaper correspondent,occ2000-281
newspaper reporter,occ2000-281
newspaper writer,occ2000-281
political reporter,occ2000-281
press writer,occ2000-281
radio commentator,occ2000-281
radio news writer,occ2000-281
reporter,occ2000-281
reporter,occ2000-281
society reporter,occ2000-281
news or editorals writer,occ2000-281
biomedical communications specialist,occ2000-282
information specialist,occ2000-282
lobbyist,occ2000-282
publications manager,occ2000-282
press agent,occ2000-282
press relations,occ2000-282
press secretary,occ2000-282
promotion specialist,occ2000-282
public relations consultant,occ2000-282
public relations counselor,occ2000-282
public relations officer,occ2000-282
public relations representative,occ2000-282
public relations specialist,occ2000-282
publicist,occ2000-282
publicity agent,occ2000-282
publicity consultant,occ2000-282
publicity expert,occ2000-282
publicity person,occ2000-282
publicity writer,occ2000-282
public relations work sales,occ2000-282
service promoter sales,occ2000-282
press secretary,occ2000-282
advertising editor,occ2000-283
art editor,occ2000-283
editorial assistant,occ2000-283
book editor,occ2000-283
censor,occ2000-283
city editor,occ2000-283
editing computer publisher,occ2000-283
continuity editor,occ2000-283
continuity reader,occ2000-283
copy editor,occ2000-283
copy reader ,occ2000-283
editing or writing copy reader,occ2000-283
editor,occ2000-283
editorial director,occ2000-283
editorial specialist,occ2000-283
index editor,occ2000-283
magazine editor,occ2000-283
make up editor,occ2000-283
manuscript editor,occ2000-283
manuscript reader,occ2000-283
market editor,occ2000-283
medical editor,occ2000-283
newspaper editor,occ2000-283
photo editor,occ2000-283
play reader,occ2000-283
publication editor,occ2000-283
reader,occ2000-283
reviewer,occ2000-283
rewrite editor,occ2000-283
scientific publications editor,occ2000-283
script editor,occ2000-283
script reader,occ2000-283
slot editor,occ2000-283
society editor,occ2000-283
sports editor,occ2000-283
story editor,occ2000-283
story reader,occ2000-283
technical editor,occ2000-283
telegraph editor,occ2000-283
assembly instructions writer,occ2000-284
documentation writer,occ2000-284
engineering documentation specialist,occ2000-284
handbook writer,occ2000-284
health science writer,occ2000-284
health technical writer,occ2000-284
manual writer,occ2000-284
medical technical writer,occ2000-284
medical writer,occ2000-284
process description writers,occ2000-284
scientific writer,occ2000-284
specifications writer,occ2000-284
technical writer,occ2000-284
technical writer and editor,occ2000-284
technical writer,occ2000-284
ad copy writer,occ2000-285
ad writer,occ2000-285
adapter,occ2000-285
advertising copy writer,occ2000-285
advertising specialist,occ2000-285
advertising writer,occ2000-285
author,occ2000-285
biographer,occ2000-285
blurb writer,occ2000-285
commercial writer,occ2000-285
continuity writer,occ2000-285
copy writer,occ2000-285
crossword puzzle maker,occ2000-285
dramatist,occ2000-285
fiction writer,occ2000-285
film writer,occ2000-285
free lance writer,occ2000-285
gag writer,occ2000-285
game author,occ2000-285
ghost writer,occ2000-285
grant writer,occ2000-285
humorist,occ2000-285
lexicographer,occ2000-285
librettist,occ2000-285
literary writer,occ2000-285
lyricist,occ2000-285
magazine writer,occ2000-285
movie writer,occ2000-285
novelist,occ2000-285
play writer,occ2000-285
playwright,occ2000-285
poet,occ2000-285
professional writer,occ2000-285
program writer,occ2000-285
publications writer,occ2000-285
radio script writer,occ2000-285
scenario writer,occ2000-285
screen writer,occ2000-285
script writer,occ2000-285
short story writer,occ2000-285
special writer,occ2000-285
speech writer,occ2000-285
sports writer,occ2000-285
story writer,occ2000-285
television script writer,occ2000-285
television writer,occ2000-285
verse writer,occ2000-285
writer ,occ2000-285
writer ,occ2000-285
audio-visual specialist,occ2000-286
braille translator,occ2000-286
graphologist,occ2000-286
interpreter ,occ2000-286
deaf interpreter,occ2000-286
language translator,occ2000-286
continuity manager,occ2000-286
script manager,occ2000-286
stage technician,occ2000-286
translator,occ2000-286
airline radio operator,occ2000-290
audio operator,occ2000-290
audio-visual production specialist,occ2000-290
board operator,occ2000-290
c.w. operator,occ2000-290
colorman,occ2000-290
control operator,occ2000-290
disc recordist,occ2000-290
acoustical engineer,occ2000-290
audio engineer,occ2000-290
broadcast engineer,occ2000-290
control engineer,occ2000-290
control records and tape recordings engineer,occ2000-290
field engineer,occ2000-290
master control engineer,occ2000-290
projection engineer,occ2000-290
radio engineer,occ2000-290
radio station engineer,occ2000-290
recording engineer,occ2000-290
signal engineer,occ2000-290
sound engineer,occ2000-290
station engineer,occ2000-290
studio engineer,occ2000-290
studio operation engineer,occ2000-290
telecasting engineer,occ2000-290
television engineer,occ2000-290
transmission engineer,occ2000-290
transmitter engineer,occ2000-290
video control engineer,occ2000-290
facsimile operator,occ2000-290
film recordist,occ2000-290
film sound coordinator,occ2000-290
sound effects manager,occ2000-290
master control operator,occ2000-290
public address systems mechanic,occ2000-290
sound equipment mechanic,occ2000-290
microphone operator,occ2000-290
mixer operator,occ2000-290
photo radio operator,occ2000-290
play back operator,occ2000-290
program clerk,occ2000-290
program scheduler,occ2000-290
projectionist,occ2000-290
projector operator,occ2000-290
public address servicer,occ2000-290
public address system installer,occ2000-290
radio division officer,occ2000-290
radio intelligence operator,occ2000-290
radio officer,occ2000-290
radio operator,occ2000-290
radio recorder,occ2000-290
radiophone operator,occ2000-290
radiotelegrapher,occ2000-290
radiotelephone operator,occ2000-290
recordist ,occ2000-290
sound controller,occ2000-290
sound cutter,occ2000-290
sound editor,occ2000-290
sound effects person,occ2000-290
sound mixer,occ2000-290
sound mixer,occ2000-290
sound person,occ2000-290
sound printer,occ2000-290
sound truck operator,occ2000-290
studio control operator,occ2000-290
control supervisor,occ2000-290
audio and video technician,occ2000-290
audio visual technician,occ2000-290
broadcasting technician,occ2000-290
communications technician,occ2000-290
control room technician,occ2000-290
field technician,occ2000-290
mechanic sound technician,occ2000-290
mechanical sound technician,occ2000-290
radio technician,occ2000-290
sound technician,occ2000-290
sound effects technician,occ2000-290
sound engineering technician,occ2000-290
sound recording technician,occ2000-290
studio technician,occ2000-290
telecasting technician,occ2000-290
television technician,occ2000-290
video technician,occ2000-290
telecine operator,occ2000-290
television operator,occ2000-290
transmission operator,occ2000-290
transmitter operator,occ2000-290
video control operator,occ2000-290
video operator,occ2000-290
winder,occ2000-290
wire photo operator ,occ2000-290
advertising photographer,occ2000-291
aerial photographer,occ2000-291
photographer assistant,occ2000-291
biological photographer,occ2000-291
camera operator \ all other,occ2000-291
color photographer,occ2000-291
