fn,clause
Indobit-A-NYT1985 - Jan 1 - March 31-271.txt," the collaborator and wife of Frank Lloyd Wright and, since his death in 1959, the keeper of his architectural legacy"
Indobit-A-NYT1984_1-500-159.txt, the radiologist whose work was the most responsible for transforming Hodgkin's disease from a hopeless form of cancer to one of the most curable
Indobit-A-NYT1985 - Oct 1 - Dec 31-238.txt, Archbishop of New York and Eastern America and Primate of the Russian Orthodox Church Outside of Russia
Indobit-A-NYT1981 - April 1 - June 30-457.txt,
Indobit-A-NYT1982_1001-1500-264.txt, a former State Department official who was one of Senator Joseph R. McCarthy's earliest targets in his anti-Communist investigations in the 1950's
Indobit-A-NYT1983 - Oct 1 - Dec 31-108.txt, a top American official of the European space program
Indobit-A-NYT1986_501-1000-85.txt, an authority on cystic fibrosis
Indobit-A-NYT1985 - Oct 1 - Dec 31-258.txt, a former member of the British Parliament who wrote a book on a 1979 scandal involving a Liberal Party leader
Indobit-A-NYT1981 - Oct 1 - Dec 31-165.txt, an influential figure in American genetics
Indobit-A-NYT1984_501-1000-177.txt, a leader in the International Red Cross and Girl Scout movements
Indobit-A-NYT1981 - Jan 1 - March 31-446.txt, former actuary of the American Life Convention and an expert on insurance matters
Indobit-A-NYT1984_1-500-65.txt," the builder of the McDonald's hamburger empire, who helped change American business and eating habits by deftly orchestrating the purveying of billions of small beef patties"
Indobit-A-NYT1982_1001-1500-315.txt," the food essayist who was the very image of the cultivated American expatriate, and whose occasional horror over adulterated Bordeaux could be as keen as his repeated ecstasies over French gastronomy"
Indobit-A-NYT1986_1001-1500-242.txt, a businesswoman active in philanthropy
Indobit-A-NYT1982_501-1000-222.txt," a polio victim who wrote ''In My Heart I'm Still Dancing,'' which is widely circulated at rehabilitation centers for polio patients"
Indobit-A-NYT1984_501-1000-350.txt,
Indobit-A-NYT1981 - April 1 - June 30-272.txt," a longtime organizer of economic development among poor blacks, who was once described by Coretta Scott King as an ''unsung giant'' of nonviolent social change"
Indobit-A-NYT1984_1-500-383.txt, a longtime leader in Jewish and community affairs in Yonkers
Indobit-A-NYT1984_1001-1500-450.txt,
Indobit-A-NYT1984_1-500-310.txt, which is published twice a week in Westfield
Indobit-A-NYT1985 - July 1 - Sep 30-33.txt, the contract bridge expert who won more titles than anyone else in the history of the game
Indobit-A-NYT1984_501-1000-357.txt," the philanthropist who, with his wife, gave millions to Lincoln Center"
Indobit-A-NYT1982_1501-1630-70.txt, who practiced law in Manhattan for 55 years and was active in a number of philanthropies
Indobit-A-NYT1981 - July 1 - Sep 30-236.txt," stepfather of Lech Walesa, the leader of Poland's Solidarity union"
Indobit-A-NYT1984_1-500-380.txt,
Indobit-A-NYT1985 - July 1 - Sep 30-200.txt, a leading authority on military logistics and operations research
Indobit-A-NYT1982_1001-1500-116.txt," the father of Walter E. Fauntroy, the Delegate to Congress from the District of Columbia"
Indobit-A-NYT1983 - Jan 1 - March 31-420.txt," a Russian immigrant who helped build a small town jewelry shop into a $500 million retail corporation with 1,600 stores worldwide"
Indobit-A-NYT1982_1501-1630-14.txt," retired, who accepted the Japanese surrender in the Philippines in World War II"
Indobit-A-NYT1986_1001-1500-265.txt," whose twangy crooning style, aided by a handheld megaphone, made him a singing idol of the 1930's and 40's"
Indobit-A-NYT1986_501-1000-473.txt, a State Senator in New Jersey since 1977
Indobit-A-NYT1986_1-500-287.txt, who organized black workers in South Africa and headed the South African Communist Party
Indobit-A-NYT1986_1001-1500-475.txt," Eric Sorey of Campbellton, Fla."
Indobit-A-NYT1981 - July 1 - Sep 30-39.txt,
Indobit-A-NYT1981 - April 1 - June 30-409.txt, one of Iowa's leading philanthropists and wealthiest residents
Indobit-A-NYT1987 - April 1 - June 30-367.txt, where two of them drowned
Indobit-A-NYT1983 - July 1 - Sep 30-337.txt, the first black woman to be admitted to the New York State Bar Association
Indobit-A-NYT1982_1001-1500-282.txt," a figure in Connecticut agriculture, business and education"
Indobit-A-NYT1987 - April 1 - June 30-170.txt, an obstetrician and gynecologist who retired from a medical practice in Manhattan in 1965
Indobit-A-NYT1987 - April 1 - June 30-206.txt, the last of the American soldiers who charged up San Juan Hill in the Spanish-American War
Indobit-A-NYT1985 - July 1 - Sep 30-284.txt, a founding member of the Lincoln Square Synagogue in Manhattan and a Bronx County Democratic committeewoman for many years
Indobit-A-NYT1981 - Oct 1 - Dec 31-59.txt, retired
Indobit-A-NYT1986_1-500-473.txt," April 20 Carl S. Miller, the inventor of a duplicating process that made carbon paper almost obsolete and created the modern copying industry"
Indobit-A-NYT1984_1-500-51.txt, an authority on nutrition and child growth who was the first woman to head a division of the American Chemical Society
Indobit-A-NYT1983 - Oct 1 - Dec 31-399.txt, who served aboard the battleship Washington during World War II and survived 53 kamikaze attacks
Indobit-A-NYT1981 - July 1 - Sep 30-240.txt, who led opposition to the 1947 Communist takeover of Hungary
Indobit-A-NYT1986_1001-1500-261.txt, a pioneer in the development of new varieties of sugar cane
Indobit-A-NYT1985 - April 1 - June 30-168.txt, an internationally known gastroenterologist and a leader in research on cancer of the gastrointestinal system
Indobit-A-NYT1981 - July 1 - Sep 30-289.txt, whose career with CBS spanned nearly 50 years
Indobit-A-NYT1983 - Oct 1 - Dec 31-286.txt, a Soviet secret police official who figured prominently in behind-the-scenes intrigues about the time of the death of Stalin in 1953
Indobit-A-NYT1981 - July 1 - Sep 30-279.txt,
Indobit-A-NYT1980_1-500-255.txt," who served 11 terms in Congress, longer than any other Oklahoma Republican"
Indobit-A-NYT1985 - April 1 - June 30-20.txt, the head of Soviet scientific research in geography for more than 30 years
Indobit-A-NYT1983 - Jan 1 - March 31-340.txt, former proprietor of the Cranbury (N.J.) Inn
Indobit-A-NYT1986_1-500-495.txt," 1936, after dinner with his immediate family, King Edward VIII climbed the Gothic staircase to his old rooms at Windsor Castle"
Indobit-A-NYT1986_1001-1500-195.txt, a pioneer in developing procedures to measure the heart's blood flow
Indobit-A-NYT1987 - Jan 1 - March 31-227.txt, a World War II veteran who helped evacuate 400 American airmen from Nazi-occupied Yugoslavia in 1944
Indobit-A-NYT1985 - April 1 - June 30-75.txt," a member of the Mormon Church's highest advisory body, the Quorum of the Twelve Apostles"
Indobit-A-NYT1984_501-1000-101.txt, a member of Adm. Richard E. Byrd's first and second expeditions to Antarctica
Indobit-A-NYT1985 - April 1 - June 30-27.txt," 62 years old, and his mother, Eileen, 84, were killed Thursday night when they were struck by a car while on their way to church"
Indobit-A-NYT1984_1001-1500-195.txt, a leader in the design and manufacture of women's undergarments
Indobit-A-NYT1983 - July 1 - Sep 30-226.txt," his jail cell and exile 8,000 miles from the Philippines in Newton, Mass."
Indobit-A-NYT1981 - Jan 1 - March 31-164.txt, a financial research analyst
Indobit-A-NYT1983 - April 1 - June 30-314.txt, a labor leader in the garment industry for nearly 40 years
Indobit-A-NYT1986_1001-1500-19.txt, a specialist in diseases of the thyroid gland
Indobit-A-NYT1984_501-1000-259.txt, a leading crusader for the rights of farm workers
Indobit-A-NYT1986_1-500-323.txt, the legendary Glubb Pasha who built Jordan's Arab Legion into one of the most formidable fighting forces in the Middle East
Indobit-A-NYT1985 - July 1 - Sep 30-204.txt, an 18-year member of the New Jersey Legislature
Indobit-A-NYT1986_1-500-44.txt, a former deputy and senior medical examiner of Nassau County
Indobit-A-NYT1985 - Oct 1 - Dec 31-388.txt, a radiologist and inventor of medical diagnostic equipment
Indobit-A-NYT1980_501-904-57.txt, a recently retired member of the New York State Tax Commission and a former State Senator
Indobit-A-NYT1982_1501-1630-60.txt, winner of this year's North Carolina Award for Literature
Indobit-A-NYT1982_501-1000-421.txt, a key figure in the development of the Soviet space program
Indobit-A-NYT1986_501-1000-207.txt," who from 195l until 1965 directed the Holy Name Center, a Catholic Charities shelter for homeless men on the Lower East Side"
Indobit-A-NYT1983 - Jan 1 - March 31-225.txt, whose research showed the effect of digitalis drugs on heart muscle
Indobit-A-NYT1982_1-500-192.txt,
Indobit-A-NYT1984_1-500-293.txt, a former leader in the wristwatch and jewelry industries
Indobit-A-NYT1983 - Jan 1 - March 31-105.txt," a silversmith who held the nation's only endowed chair in the crafts, was killed Sunday in an automobile accident in Henrietta, N.Y."
Indobit-A-NYT1985 - April 1 - June 30-284.txt, a body builder and health club pioneer
Indobit-A-NYT1981 - Oct 1 - Dec 31-100.txt, one of America's foremost Chinese cooks
Indobit-A-NYT1984_501-1000-374.txt, who was active for many years in Greek-American affairs in New York City
Indobit-A-NYT1984_501-1000-201.txt,
Indobit-A-NYT1986_1-500-237.txt, one of Hollywood's best-known and most successful talent agents
Indobit-A-NYT1980_1-500-384.txt,
Indobit-A-NYT1987 - April 1 - June 30-412.txt," who was active for many years in civic and social affairs in Montclair, N.J."
Indobit-A-NYT1985 - July 1 - Sep 30-411.txt,
Indobit-A-NYT1986_501-1000-415.txt, an arms control advocate
Indobit-A-NYT1985 - April 1 - June 30-136.txt, a former member of the national board of Hadassah
Indobit-A-NYT1983 - Jan 1 - March 31-120.txt,
Indobit-A-NYT1982_1001-1500-289.txt, Archbishop of Florence and a church conservative who in 1978 was regarded as a likely candidate to be elected Pope
Indobit-A-NYT1985 - April 1 - June 30-325.txt, patriarch of a Louisiana dynasty that has put Tabasco sauce on the world's tables for more than a century
Indobit-A-NYT1987 - April 1 - June 30-395.txt, a champion bridge player
Indobit-A-NYT1981 - Oct 1 - Dec 31-41.txt, credited with inventing the ''Human Cannonball'' circus act by firing himself out of an spring-powered cannon
Indobit-A-NYT1983 - Jan 1 - March 31-344.txt," who was active in social-service, charitable and educational causes"
Indobit-A-NYT1985 - July 1 - Sep 30-83.txt," retired headmaster of the Wooster School in Danbury, Conn."
Indobit-A-NYT1986_1-500-437.txt, an authority on contract bridge who lectured and wrote about the game
Indobit-A-NYT1983 - Jan 1 - March 31-360.txt, an expert on state fiscal matters
Indobit-A-NYT1983 - July 1 - Sep 30-214.txt, who supplied the ship that became known as the Exodus for use in trying to transport Jews to Palestine
Indobit-A-NYT1984_501-1000-71.txt, who gained prominence as one of the nation's great primitive woodcarvers
Indobit-A-NYT1986_501-1000-216.txt, a former New York restaurateur
Indobit-A-NYT1986_1001-1500-377.txt, an official for many years of New York and national horticultural and preservation organizations
Indobit-A-NYT1985 - July 1 - Sep 30-439.txt, a pioneer of photojournalism and an internationally acclaimed master of small-camera lyricism
Indobit-A-NYT1981 - July 1 - Sep 30-336.txt, an official with the division of overseas ministries of the National Council of Churches
Indobit-A-NYT1981 - Jan 1 - March 31-34.txt, who was active in Orthodox Jewish programs
Indobit-A-NYT1980_501-904-120.txt, germ-free enclosure because he was born without immunity to disease
Indobit-A-NYT1981 - July 1 - Sep 30-256.txt, a Korean War hero who spent three years in Communist prisoner-of-war camps in North Korea
Indobit-A-NYT1983 - Jan 1 - March 31-314.txt, a patron of the arts
Indobit-A-NYT1983 - Jan 1 - March 31-147.txt,
Indobit-A-NYT1984_1-500-286.txt, a leading amateur golfer in the 1930's
Indobit-A-NYT1982_1-500-299.txt, a Russian immigrant who achieved his dream of becoming an American citizen at the age of 99
Indobit-A-NYT1987 - Jan 1 - March 31-166.txt, who helped establish a network of social service agencies for New York's homosexual community
Indobit-A-NYT1985 - July 1 - Sep 30-97.txt, who led the wartime British counterespionage unit responsible for a hoax to deceive the Nazis over Allied landings in the Mediterranean
Indobit-A-NYT1981 - April 1 - June 30-114.txt, a researcher who carried out fundamental studies of the nervous system and its diseases
Indobit-A-NYT1984_501-1000-329.txt, the first woman elected to the Delaware Legislature
Indobit-A-NYT1983 - July 1 - Sep 30-361.txt, an authority on the history of women in the union movement
Indobit-A-NYT1984_1001-1500-380.txt,
Indobit-A-NYT1987 - April 1 - June 30-66.txt, member of the New Wafd Party and former leader of the opposition bloc in Parliament
Indobit-A-NYT1984_1-500-379.txt, a leader in developing chemotherapy treatments for cancer
Indobit-A-NYT1981 - Jan 1 - March 31-358.txt,
Indobit-A-NYT1983 - Oct 1 - Dec 31-187.txt, a specialist in malaria and tropical diseases who served on Gen. Douglas MacArthur's senior staff in World War II
Indobit-A-NYT1985 - July 1 - Sep 30-45.txt," an Episcopal churchwoman who advocated the ordination of women to the priesthood, was held Monday, July 1"
Indobit-A-NYT1982_1001-1500-458.txt," daughter of Mr. and Mrs. Salomon Zalusky of Franklin Square, L.I., was married yesterday to Jordan L. Bleznick"
Indobit-A-NYT1982_1-500-15.txt, a Baltimore civic leader for almost half a century
Indobit-A-NYT1983 - July 1 - Sep 30-340.txt, a wine and food critic recognized for both his culinary knowledge and his elegant writing style
Indobit-A-NYT1987 - Jan 1 - March 31-20.txt, who served for 20 years on the New York State Supreme Court
Indobit-A-NYT1985 - Jan 1 - March 31-237.txt, who was the only voice of Donald Duck in more than 150 cartoons and movies over five decades
Indobit-A-NYT1985 - Oct 1 - Dec 31-132.txt, the Alabama Ku Klux Klansman who was convicted of murder in the 1963 bombing of a Birmingham church that killed four black girls
Indobit-A-NYT1982_501-1000-450.txt, whose wives included Debbie Reynolds and Marie McDonald
Indobit-A-NYT1984_1501-1563-49.txt," a jockey who rode 103 stakes winners and won 2,642 races"
Indobit-A-NYT1981 - April 1 - June 30-115.txt, a former State Department official who wrote extensively on Taoism and Buddhism
Indobit-A-NYT1983 - April 1 - June 30-349.txt, an internationally known literary agent who assisted the impoverished James Joyce with money and even a table to write on
Indobit-A-NYT1986_501-1000-143.txt, the motions clerk of the New York Court of Appeals for at least 20 years
Indobit-A-NYT1981 - Jan 1 - March 31-365.txt," who with his older brother, Dizzy, pitched the St. Louis Cardinals to the World Series championship in 1934"
Indobit-A-NYT1981 - April 1 - June 30-43.txt, a missionary for the Presbyterian Church in the Far East and Asia for more than three decades
Indobit-A-NYT1980_1-500-158.txt," an Indian activist who won a $300,000 civil rights judgment against the city of Gordon, Neb., one year before her death, apparently poisoned herself with strychnine"
Indobit-A-NYT1985 - Oct 1 - Dec 31-138.txt,
Indobit-A-NYT1984_1-500-481.txt, winner of the National Medal of Science and a pioneer in the study of the electrical properties of nerves and other living cells
Indobit-A-NYT1983 - July 1 - Sep 30-354.txt, a leader of the South African Indian minority and of the banned Communist Party
Indobit-A-NYT1983 - April 1 - June 30-371.txt, a former Republican Assemblyman from Staten Island and a former member of the New York City Tax Commission
Indobit-A-NYT1986_1-500-15.txt," convicted, in one of the most sensational trials of the 1940's, of the slaying of his wife, Patricia, heiress to a New York beer fortune"
Indobit-A-NYT1985 - April 1 - June 30-313.txt, who helped develop the Soviet strategic missile forces
Indobit-A-NYT1985 - July 1 - Sep 30-316.txt, one of the world's most prolific best-selling authors
Indobit-A-NYT1986_1-500-169.txt, the Soviet polar explorer who commanded the Russians' first ice-floe station in 1937-38 in one of the more daring exploits in polar history
Indobit-A-NYT1985 - Jan 1 - March 31-267.txt, an obstetrician and gynecologist in New York City for more than half a century
Indobit-A-NYT1983 - July 1 - Sep 30-378.txt, a French singing star who sold some 200 million records in a 50-year career
Indobit-A-NYT1986_501-1000-49.txt, who owned the Belmore Cafeteria in Manhattan for more than 50 years
Indobit-A-NYT1984_1001-1500-344.txt, the first woman to serve on the Maryland Court of Appeals
Indobit-A-NYT1986_501-1000-464.txt,
Indobit-A-NYT1985 - July 1 - Sep 30-36.txt, an international authority on games and gambling
Indobit-A-NYT1984_1001-1500-172.txt,
Indobit-A-NYT1983 - April 1 - June 30-334.txt, who once said that ''being a good errand boy'' for the people of his Oklahoma district earned him 32 years in Congress
Indobit-A-NYT1985 - Oct 1 - Dec 31-51.txt, a longtime theatrical and literary agent
Indobit-A-NYT1983 - April 1 - June 30-2.txt,
Indobit-A-NYT1987 - April 1 - June 30-101.txt, a leading advocate of aid to education and women's rights and an early opponent of the Vietnam War
Indobit-A-NYT1980_1-500-387.txt, wife of the reputed organized crime leader Joseph C. Bonanno Sr.
Indobit-A-NYT1981 - Oct 1 - Dec 31-251.txt, Mich.
Indobit-A-NYT1982_1-500-295.txt, a leader in neuroendocrinology who helped start a foundation that developed the birth control pill
Indobit-A-NYT1985 - Jan 1 - March 31-100.txt," an authority on the railroad, trucking and airlines industries"
Indobit-A-NYT1985 - Jan 1 - March 31-313.txt, a former Republican Senator from Indiana who accused George C. Marshall of befriending Communists after World War II
Indobit-A-NYT1986_1001-1500-21.txt, a former press officer at the Egyptian Embassy in Washington
Indobit-A-NYT1982_1-500-58.txt, the ''Father Foxhole'' of World War II who insisted on frontline duty with the Marines
Indobit-A-NYT1983 - April 1 - June 30-24.txt, a former Foreign Service officer
Indobit-A-NYT1983 - April 1 - June 30-93.txt, Salvador Cayetano Carpio
Indobit-A-NYT1984_501-1000-158.txt, a former official of the city's Human Resources Administration
Indobit-A-NYT1983 - Oct 1 - Dec 31-100.txt," Third BasemanOn '50 Phils' Pennant Winner CINCINNATI, Oct. 19 (UPI) - Willie (Puddin' Head) Jones, the third baseman for the Philadelphia Phillies' Whiz Kid team that won the National League pennant in 1950"
Indobit-A-NYT1983 - Oct 1 - Dec 31-48.txt,
Indobit-A-NYT1983 - Jan 1 - March 31-386.txt, a Communist member of the Canadian Parliament who was convicted of spying for Moscow
Indobit-A-NYT1986_1001-1500-266.txt, a Vietnamese revolutionary who fought against French and American forces
Indobit-A-NYT1983 - July 1 - Sep 30-105.txt," who was active in educational, cultural and charitable affairs"
Indobit-A-NYT1981 - Jan 1 - March 31-370.txt," a former interior decorator who worked under her maiden name, Helen Breen"
Indobit-A-NYT1983 - Oct 1 - Dec 31-299.txt, the ''French Bombshell'' of 1930's motion pictures who was never able to visit France
Indobit-A-NYT1985 - April 1 - June 30-37.txt, a leader of Hispanic work in the American Baptist Churches
Indobit-A-NYT1984_501-1000-476.txt, the oldest woman in New York's state prisons
Indobit-A-NYT1981 - April 1 - June 30-252.txt, one of the world's foremost authorities on the American alligator
Indobit-A-NYT1981 - April 1 - June 30-364.txt, the archeologist whose diggings in Thailand cast doubt on theories that civilization first sprang from the rich crescent of the Tigris-Euphrates Valley
Indobit-A-NYT1981 - Oct 1 - Dec 31-133.txt, a pioneer California winemaker
Indobit-A-NYT1981 - Oct 1 - Dec 31-88.txt, a vivacious stripteaser and nightclub entertainer who was billed as ''The Dynamic Georgia Sothern'' in the 1940's
Indobit-A-NYT1981 - Oct 1 - Dec 31-414.txt, a New York City clothing manufacturer
Indobit-A-NYT1985 - April 1 - June 30-215.txt, a Soviet pioneer in aircraft engine design before the jet age
Indobit-A-NYT1984_501-1000-234.txt, a New York literary agent
Indobit-A-NYT1985 - Oct 1 - Dec 31-9.txt, who led a pioneering expedition to the far north to show that Arctic weather had a strong effect on other parts of the world
Indobit-A-NYT1985 - Jan 1 - March 31-189.txt, who was elected to the New Jersey Assembly in 1981 at the age of 62 after a long career in business
Indobit-A-NYT1985 - April 1 - June 30-278.txt,
Indobit-A-NYT1983 - July 1 - Sep 30-274.txt, Washington State's senior Senator and a 44-year veteran of Congress and national politics
Indobit-A-NYT1982_1-500-303.txt, the man who led construction of the 800-milelong Trans-Alaska oil pipeline
Indobit-A-NYT1986_1-500-80.txt," the small, swift halfback who galloped into sports lore as one of the Four Horsemen of Notre Dame and later coached the Seven Blocks of Granite at Fordham"
Indobit-A-NYT1987 - Jan 1 - March 31-226.txt," a former Central Intelligence Agency official, and other arms dealers"
Indobit-A-NYT1987 - April 1 - June 30-14.txt,
Indobit-A-NYT1980_501-904-339.txt, once a dedicated follower of the populist dictator Juan D. Peron
Indobit-A-NYT1982_1001-1500-98.txt, known for research into the links between cigarette smoking and cancer
Indobit-A-NYT1983 - Oct 1 - Dec 31-176.txt, an expert on city politics here
Indobit-A-NYT1986_501-1000-444.txt," a cinematographer, inventor and authority on the technical history of the motion picture"
Indobit-A-NYT1982_501-1000-59.txt, the greatest violist of his time
Indobit-A-NYT1986_1001-1500-240.txt,
Indobit-A-NYT1981 - Oct 1 - Dec 31-377.txt," who provided sanctuary to Anne Frank, her family and four other Jews in Nazi-occupied Amsterdam during World War II"
Indobit-A-NYT1982_1-500-304.txt,
Indobit-A-NYT1986_1001-1500-44.txt," who opened a small store 40 years ago to offer her homemade bread, an enterprise that became the multimillion-dollar Brownberry Ovens bakery"
Indobit-A-NYT1986_1001-1500-407.txt, a longtime literary agent whose clients included John Steinbeck
Indobit-A-NYT1983 - Oct 1 - Dec 31-337.txt, a former official of the Evangelical Lutheran Church
Indobit-A-NYT1985 - April 1 - June 30-300.txt,
Indobit-A-NYT1982_1001-1500-113.txt,
Indobit-A-NYT1980_501-904-143.txt, a grandchild of John D. Rockefeller Jr. who was active in programs for the welfare of animals and the preservation of the environment
Indobit-A-NYT1985 - July 1 - Sep 30-442.txt, Grand Chamberlain Sukemasa Irie
Indobit-A-NYT1984_1001-1500-303.txt, an internationally known expert on gemstones and a prominent figure in the diamond industry for several decades
Indobit-A-NYT1981 - April 1 - June 30-96.txt, a specialist in securities and corporate law
Indobit-A-NYT1984_1001-1500-11.txt, a talent agent who represented clients ranging from Marilyn Monroe to Frank Sinatra and built the William Morris Agency into one of the world's largest theatrical agencies
Indobit-A-NYT1986_1001-1500-404.txt, whose paintings in the magic-realist style won him a measure of recognition and numerous awards and grants in New Jersey and New York over several decades
Indobit-A-NYT1981 - Oct 1 - Dec 31-293.txt, who served in Congress from 1933 to 1939
Indobit-A-NYT1985 - April 1 - June 30-346.txt,
Indobit-A-NYT1981 - April 1 - June 30-66.txt," a Republican who had represented his Ohio district in Congress since 1972, was found dead yesterday at his home in Alexandria"
Indobit-A-NYT1985 - Jan 1 - March 31-381.txt, one of the world's leading authorities on Copernicus and the origins of modern astronomy
Indobit-A-NYT1983 - July 1 - Sep 30-4.txt, who presided over the tumultuous Chicago Seven conspiracy trial that became a symbol of domestic turmoil in the Vietnam War
Indobit-A-NYT1985 - Jan 1 - March 31-185.txt, who ordered and supervised the integration of the Atlanta public school system
Indobit-A-NYT1984_1501-1563-35.txt, an influential planner who was instrumental in challenging suburban zoning regulations that exclude low-income people
Indobit-A-NYT1984_1001-1500-496.txt, the balcony
Indobit-A-NYT1985 - Oct 1 - Dec 31-281.txt, a philanthropist and sole surviving granddaughter of John D. Rockefeller Sr.
Indobit-A-NYT1986_1-500-230.txt,
Indobit-A-NYT1985 - Jan 1 - March 31-119.txt, former leader of a political party that served as a front for Greek Communists before the Communist Party was legalized in 1974
Indobit-A-NYT1983 - Oct 1 - Dec 31-204.txt, better known to fishing enthusiasts as Sparse Grey Hackle
Indobit-A-NYT1986_501-1000-347.txt," who served the textile industry for many years as a leading lender, or factor"
Indobit-A-NYT1985 - Jan 1 - March 31-112.txt, a Soviet air pioneer who flew nonstop across the North Pole to an emergency landing in a California cow pasture in 1937
Indobit-A-NYT1987 - April 1 - June 30-331.txt, a retired ear
Indobit-A-NYT1984_1001-1500-384.txt, a retired banker
Indobit-A-NYT1981 - Jan 1 - March 31-213.txt,
Indobit-A-NYT1984_501-1000-249.txt, the central figure in New York City's nursing-home investigation a decade ago
Indobit-A-NYT1980_1-500-134.txt, a former schoolboy all-American and all-city selection at Taft High School in the Bronx
Indobit-A-NYT1985 - Oct 1 - Dec 31-6.txt, the pioneer in seismology for whom the Richter scale of earthquake magnitude is named
Indobit-A-NYT1987 - Jan 1 - March 31-252.txt, exiled military leader of the Basque terrorist organization E.T.A.
Indobit-A-NYT1982_501-1000-411.txt, leader of the Samaritan community in Israel for half a century
Indobit-A-NYT1984_1001-1500-440.txt, the second-oldest survivor of the sinking of the Titanic in 1912
Indobit-A-NYT1984_1-500-352.txt, who was an American banker in China between the world wars
Indobit-A-NYT1981 - July 1 - Sep 30-163.txt, a member of the noted harness racing family
Indobit-A-NYT1984_501-1000-276.txt, one of the greatest contract bridge players
Indobit-A-NYT1985 - April 1 - June 30-154.txt,
Indobit-A-NYT1982_1-500-180.txt, often called the Toy King of America
Indobit-A-NYT1983 - Jan 1 - March 31-123.txt, one of China's highest-ranking military officials
Indobit-A-NYT1980_501-904-73.txt, a patron of the April in Paris Ball and other charities
Indobit-A-NYT1981 - July 1 - Sep 30-82.txt, who served on the Federal bench for 44 years before his retirement a month ago
Indobit-A-NYT1985 - July 1 - Sep 30-131.txt, a World War I flying ace who was a founding member of the Royal Canadian Air Force
Indobit-A-NYT1981 - Oct 1 - Dec 31-358.txt, an international coffee trader for more than 50 years
Indobit-A-NYT1982_1001-1500-129.txt,
Indobit-A-NYT1985 - July 1 - Sep 30-91.txt, who became a millionaire by operating hatcheck concessions in the heyday of New York City nightclubs
Indobit-A-NYT1982_1-500-46.txt," Mohammed Ghazali bin Shafie, crashed into a mountainous jungle today, killing all three people aboard"
Indobit-A-NYT1986_1001-1500-91.txt," the former head of the the Outboard Marine Corporation, which made the outboard boat motor used by millions"
Indobit-A-NYT1983 - July 1 - Sep 30-266.txt, a retired investment counselor who was active in the support of education and medicine
Indobit-A-NYT1986_1001-1500-431.txt, retired treasurer of the Episcopal Diocese of New York
Indobit-A-NYT1983 - July 1 - Sep 30-131.txt,
Indobit-A-NYT1985 - April 1 - June 30-128.txt, a leader in aerial mapping
Indobit-A-NYT1986_1001-1500-457.txt," the burly, cantankerous Californian who at the age of 76 came out of obscurity to help touch off a nationwide tax revolt"
Indobit-A-NYT1984_1-500-99.txt, the Olympic swimming champion who went on to fame as Tarzan of the Jungle in the movies
Indobit-A-NYT1982_1001-1500-475.txt, the first person to receive two transplanted lungs from different donors
Indobit-A-NYT1981 - Jan 1 - March 31-236.txt, long active in Chicago's cultural affairs
Indobit-A-NYT1984_1001-1500-75.txt," a five-term Democratic Congressman from California whose political career came to an abrupt end when he lost his seat in 1946 to a novice Republican, Richard M. Nixon"
Indobit-A-NYT1984_1001-1500-7.txt," one of the postwar era's leading American writers, whose prose shimmered with clarity and quality"
Indobit-A-NYT1987 - Jan 1 - March 31-130.txt,
Indobit-A-NYT1984_1-500-180.txt, who for decades was a prominent social figure and fund- raiser for charitable causes in New York
Indobit-A-NYT1985 - July 1 - Sep 30-113.txt, who designed the window displays at Saks Fifth Avenue for two decades
Indobit-A-NYT1984_1001-1500-60.txt, whose novels and short stories told of the pains and moral dilemmas of the Irish struggle for freedom
Indobit-A-NYT1985 - Oct 1 - Dec 31-263.txt," a Brooklyn real-estate broker who was active in apartment sales in Brooklyn Heights, Park Slope, Cobble Hill and Carroll Gardens, was found dead of carbon-monoxide poisoning on Tuesday morning in a garage opposite one of her offices at 343 Smith Street"
Indobit-A-NYT1986_501-1000-154.txt, who was active in humanitarian and philanthropic causes for several decades in New York City
Indobit-A-NYT1981 - July 1 - Sep 30-107.txt, an early Marine Corps aviator
Indobit-A-NYT1984_1001-1500-269.txt, who participated in charitable activities for many years
Indobit-A-NYT1983 - July 1 - Sep 30-187.txt, a specialist in international law
Indobit-A-NYT1984_501-1000-13.txt, the ''tree lady'' of Brooklyn whose conservation efforts flowered into botanical beauty amid urban blight
Indobit-A-NYT1987 - Jan 1 - March 31-321.txt," one of the last of the old-time reputed Mafia dons, who was reportedly enlisted in 1960 in a futile effort to kill Fidel Castro"
Indobit-A-NYT1981 - Oct 1 - Dec 31-87.txt, the Israeli soldier-statesman
Indobit-A-NYT1987 - April 1 - June 30-164.txt, a nine-term Republican from Connecticut
Indobit-A-NYT1982_1001-1500-15.txt, for years the head of the Diners' Club and a key figure in the growth of the credit card business
Indobit-A-NYT1985 - July 1 - Sep 30-312.txt,
Indobit-A-NYT1982_1001-1500-285.txt, a Republican candidate for the Connecticut House of Representatives
Indobit-A-NYT1982_1-500-370.txt, a Vatican expert in church law
Indobit-A-NYT1983 - Oct 1 - Dec 31-62.txt, who served almost 50 years in the State Legislature and the courts
Indobit-A-NYT1980_1-500-351.txt,
Indobit-A-NYT1982_501-1000-240.txt, the Republican candidate for the House of Representatives from Hudson County
Indobit-A-NYT1983 - April 1 - June 30-88.txt, one of Poland's most prominent writers and political dissidents
Indobit-A-NYT1986_1001-1500-180.txt, an interior decorator known for his traditional design style and his longstanding community involvement on the East Side
