fn,clause
Indobit-A-NYT1980_1-500-478.txt, a Westchester County real estate man for nearly 20 years
Indobit-A-NYT1983 - April 1 - June 30-203.txt, known for his rulings in the areas of prison reform and busing to achieve integration in public schools
Indobit-A-NYT1981 - July 1 - Sep 30-122.txt, a Maryknoll missionary who spent 25 years in China
Indobit-A-NYT1981 - Jan 1 - March 31-330.txt," who became a specialist in arthritis after practicing family medicine in Bronxville, N.Y., from 1934 to 1967"
Indobit-A-NYT1982_1501-1630-5.txt," a bookseller for 77 years, until his retirement earlier this year"
Indobit-A-NYT1985 - Oct 1 - Dec 31-96.txt, a retired investment broker
Indobit-A-NYT1984_501-1000-413.txt, the winner in January of an $11.1 million lottery jackpot
Indobit-A-NYT1986_1-500-105.txt, the Republican leader of the Bronx since 1970
Indobit-A-NYT1982_1-500-103.txt," the deputy head of the K.G.B., the Soviet intelligence and internal security agency"
Indobit-A-NYT1985 - Oct 1 - Dec 31-48.txt, a leading figure in contract bridge
Indobit-A-NYT1982_1-500-331.txt," who served as a medical officer with the American Joint Distribution Committee in the early 1920's, providing emergency relief to Jewish communities in Europe"
Indobit-A-NYT1985 - Jan 1 - March 31-99.txt, a leader in volunteer community gardening activities in New York City
Indobit-A-NYT1987 - Jan 1 - March 31-242.txt, a retired investment counselor
Indobit-A-NYT1986_501-1000-1.txt,
Indobit-A-NYT1983 - Oct 1 - Dec 31-250.txt, now Manufacturers Hanover Trust
Indobit-A-NYT1982_501-1000-242.txt,
Indobit-A-NYT1982_1001-1500-327.txt, the spiritual leader of the Brooklyn Jewish Center in the Crown Heights section since 1919
Indobit-A-NYT1986_1-500-31.txt, coordinator of information for the House of Representatives from 1949 to 1951
Indobit-A-NYT1984_501-1000-103.txt, a native of Pittsburgh
Indobit-A-NYT1986_501-1000-111.txt, an inventor of household and industrial equipment
Indobit-A-NYT1980_1-500-154.txt, who parlayed an investment in a struggling Las Vegas hotel into the ownership of four casinos
Indobit-A-NYT1981 - Oct 1 - Dec 31-390.txt, an early merchandiser and promoter of educational toys
Indobit-A-NYT1980_501-904-244.txt, Ore.
